index,filename,width,height,unique,blur,mean,min,max,stdv,file_size,contrast
0,dataset\82. academicDigital\academicDigital0000001.jpg,1760,830,252,6279.1328,226.4440,0.0000,255.0000,31.7372,332106,1.0000
1,dataset\82. academicDigital\academicDigital0000002.jpg,1080,516,225,4826.4463,250.0191,3.0000,255.0000,26.9830,45165,0.9767
2,dataset\82. academicDigital\academicDigital0000003.jpg,1080,630,255,11029.1191,245.1317,0.0000,255.0000,38.8191,107001,1.0000
3,dataset\82. academicDigital\academicDigital0000004.jpg,1080,1438,256,12738.0732,130.3088,0.0000,255.0000,75.8615,446821,1.0000
4,dataset\82. academicDigital\academicDigital0000005.jpg,549,731,209,6334.5732,243.9805,32.0000,255.0000,32.2390,80390,0.7770
5,dataset\82. academicDigital\academicDigital0000006.jpg,1080,1399,256,9256.3633,245.0267,0.0000,255.0000,39.9260,62885,1.0000
6,dataset\82. academicDigital\academicDigital0000007.jpg,719,1001,256,17914.1660,208.0108,0.0000,255.0000,48.4012,77363,1.0000
7,dataset\82. academicDigital\academicDigital0000009.jpg,1038,1038,256,8110.5908,47.1294,0.0000,255.0000,57.1932,104161,1.0000
8,dataset\82. academicDigital\academicDigital0000014.jpg,901,1280,256,47137.8320,228.1110,0.0000,255.0000,65.7016,383823,1.0000
9,dataset\82. academicDigital\academicDigital0000015.jpg,901,1280,256,34064.9141,237.2997,0.0000,255.0000,54.1625,297237,1.0000
10,dataset\82. academicDigital\academicDigital0000016.jpg,901,1280,256,39168.4922,230.8910,0.0000,255.0000,61.5337,371621,1.0000
11,dataset\82. academicDigital\academicDigital0000017.jpg,901,1280,256,23342.6855,239.0330,0.0000,255.0000,47.5340,259052,1.0000
12,dataset\82. academicDigital\academicDigital0000018.jpg,901,1280,256,28303.1309,239.1407,0.0000,255.0000,52.1294,235278,1.0000
13,dataset\82. academicDigital\academicDigital0000019.jpg,901,1280,256,34064.9141,237.2997,0.0000,255.0000,54.1625,297237,1.0000
14,dataset\82. academicDigital\academicDigital0000020.jpg,901,1280,256,39168.4922,230.8910,0.0000,255.0000,61.5337,371621,1.0000
15,dataset\82. academicDigital\academicDigital0000021.jpg,901,1280,256,23342.6855,239.0330,0.0000,255.0000,47.5340,259052,1.0000
16,dataset\82. academicDigital\academicDigital0000022.jpg,901,1280,256,47137.8320,228.1110,0.0000,255.0000,65.7016,383823,1.0000
17,dataset\82. academicDigital\academicDigital0000023.jpg,901,1280,256,28303.1309,239.1407,0.0000,255.0000,52.1294,235278,1.0000
18,dataset\82. academicDigital\academicDigital0000024.jpg,901,1280,256,47137.8320,228.1110,0.0000,255.0000,65.7016,383823,1.0000
19,dataset\82. academicDigital\academicDigital0000025.jpg,901,1280,256,28303.1309,239.1407,0.0000,255.0000,52.1294,235278,1.0000
20,dataset\82. academicDigital\academicDigital0000026.jpg,901,1280,256,34064.9141,237.2997,0.0000,255.0000,54.1625,297237,1.0000
21,dataset\82. academicDigital\academicDigital0000027.jpg,901,1280,256,23342.6855,239.0330,0.0000,255.0000,47.5340,259052,1.0000
22,dataset\82. academicDigital\academicDigital0000028.jpg,901,1280,256,39168.4922,230.8910,0.0000,255.0000,61.5337,371621,1.0000
23,dataset\82. academicDigital\academicDigital0000029.jpg,899,1600,256,22693.5234,227.9569,0.0000,255.0000,52.7326,239106,1.0000
24,dataset\82. academicDigital\academicDigital0000030.jpg,1024,480,256,14045.7529,220.6183,0.0000,255.0000,64.4271,49672,1.0000
25,dataset\82. academicDigital\academicDigital0000031.jpg,1600,739,256,23388.0605,226.4823,0.0000,255.0000,60.5628,161696,1.0000
26,dataset\82. academicDigital\academicDigital0000032.jpg,720,768,256,46250.5898,232.0624,0.0000,255.0000,66.7588,94740,1.0000
27,dataset\82. academicDigital\academicDigital0000033.jpg,591,1280,219,11487.4336,243.3589,0.0000,255.0000,37.8131,77443,1.0000
28,dataset\82. academicDigital\academicDigital0000034.jpg,591,1280,222,8234.2588,246.7375,0.0000,255.0000,32.7055,57361,1.0000
29,dataset\82. academicDigital\academicDigital0000035.jpg,773,1280,203,10064.5674,246.3815,0.0000,255.0000,32.8772,71964,1.0000
30,dataset\82. academicDigital\academicDigital0000036.jpg,720,1149,256,11765.6387,234.8911,0.0000,255.0000,41.5943,145736,1.0000
31,dataset\82. academicDigital\academicDigital0000037.jpg,1080,1264,254,20428.7344,243.5253,0.0000,255.0000,42.6064,101674,1.0000
32,dataset\82. academicDigital\academicDigital0000038.jpg,720,1280,256,25214.9336,225.4810,0.0000,255.0000,70.0835,100091,1.0000
33,dataset\82. academicDigital\academicDigital0000039.jpg,720,905,256,44100.8477,234.3264,0.0000,255.0000,63.5266,99256,1.0000
34,dataset\82. academicDigital\academicDigital0000040.jpg,720,1280,248,3515.2297,252.4413,0.0000,255.0000,20.0562,22516,1.0000
35,dataset\82. academicDigital\academicDigital0000041.jpg,540,1140,256,18875.8340,227.8086,0.0000,255.0000,64.5604,61439,1.0000
36,dataset\82. academicDigital\academicDigital0000043.jpg,652,919,217,6224.4614,247.1314,36.0000,255.0000,27.4890,47851,0.7526
37,dataset\82. academicDigital\academicDigital0000044.jpg,696,347,245,3961.8232,247.1760,4.0000,255.0000,27.8978,20932,0.9691
38,dataset\82. academicDigital\academicDigital0000048.jpg,1280,720,256,7170.2686,189.3124,0.0000,255.0000,77.2262,109257,1.0000
39,dataset\82. academicDigital\academicDigital0000049.jpg,1280,720,256,7475.2461,129.1353,0.0000,255.0000,95.3400,151579,1.0000
40,dataset\82. academicDigital\academicDigital0000050.jpg,1280,719,254,6775.1992,157.5239,0.0000,255.0000,86.0577,125911,1.0000
41,dataset\82. academicDigital\academicDigital0000051.jpg,591,1280,256,6626.7007,245.6961,0.0000,255.0000,29.4501,36333,1.0000
42,dataset\82. academicDigital\academicDigital0000052.jpg,591,1280,256,17010.1465,31.5227,0.0000,255.0000,41.1433,63836,1.0000
43,dataset\82. academicDigital\academicDigital0000053.jpg,591,1280,256,14441.8428,28.5489,0.0000,255.0000,35.3473,54898,1.0000
44,dataset\82. academicDigital\academicDigital0000054.jpg,591,1280,256,16029.2051,29.3934,0.0000,255.0000,33.9097,80712,1.0000
45,dataset\82. academicDigital\academicDigital0000055.jpg,606,1280,256,13691.3564,246.7215,0.0000,255.0000,34.8864,57696,1.0000
46,dataset\82. academicDigital\academicDigital0000057.jpg,540,1170,256,9102.3604,243.9582,0.0000,255.0000,37.8722,51283,1.0000
47,dataset\82. academicDigital\academicDigital0000058.jpg,1280,763,256,10749.4668,248.6998,0.0000,255.0000,34.1002,38710,1.0000
48,dataset\82. academicDigital\academicDigital0000059.jpg,915,1280,196,8176.9106,247.3773,58.0000,255.0000,34.2354,50981,0.6294
49,dataset\82. academicDigital\academicDigital0000060.jpg,750,1256,221,8228.2520,251.5815,0.0000,255.0000,26.5793,34736,1.0000
50,dataset\82. academicDigital\academicDigital0000063.jpg,591,1280,256,13256.2646,241.7317,0.0000,255.0000,44.3364,56164,1.0000
51,dataset\82. academicDigital\academicDigital0000065.jpg,914,544,256,10114.3457,214.8143,0.0000,255.0000,55.4438,96960,1.0000
52,dataset\82. academicDigital\academicDigital0000066.jpg,914,544,256,10114.3457,214.8143,0.0000,255.0000,55.4438,96960,1.0000
53,dataset\82. academicDigital\academicDigital0000068.jpg,720,417,222,4762.6367,246.5678,33.0000,255.0000,29.4810,104908,0.7708
54,dataset\82. academicDigital\academicDigital0000075.jpg,606,1280,256,9366.5283,39.9710,0.0000,255.0000,37.7330,62976,1.0000
55,dataset\82. academicDigital\academicDigital0000076.jpg,606,1280,256,7806.5894,37.0701,0.0000,255.0000,36.4674,52225,1.0000
56,dataset\82. academicDigital\academicDigital0000077.jpg,606,1280,256,5851.0947,35.4553,0.0000,255.0000,31.6969,50418,1.0000
57,dataset\82. academicDigital\academicDigital0000078.jpg,606,1280,256,15291.2402,44.5069,0.0000,255.0000,45.6155,81139,1.0000
58,dataset\82. academicDigital\academicDigital0000079.jpg,606,1280,256,5194.6216,33.7917,0.0000,255.0000,30.8206,46574,1.0000
59,dataset\82. academicDigital\academicDigital0000080.jpg,914,544,256,10114.3457,214.8143,0.0000,255.0000,55.4438,96960,1.0000
60,dataset\82. academicDigital\academicDigital0000083.jpg,1280,603,244,5104.9922,226.4280,0.0000,255.0000,30.4443,62329,1.0000
61,dataset\82. academicDigital\academicDigital0000086.jpg,1280,752,256,13803.1260,241.4268,0.0000,255.0000,45.2133,78305,1.0000
