component_id,mean,sum,count,min,max
0,23.933149,24.000000,0.997215,0.990330,0.999679
8,11.999996,12.000000,1.000000,1.000000,1.000000
9,11.999999,12.000000,1.000000,1.000000,1.000000
10,11.999991,12.000000,0.999999,0.999999,0.999999
11,12.000000,12.000000,1.000000,1.000000,1.000000
12,11.999996,12.000000,1.000000,1.000000,1.000000
17,7.766163,8.000000,0.970770,0.966044,0.975496
19,538.699829,554.000000,0.972382,0.960126,1.000000
403,4.000000,4.000000,1.000000,1.000000,1.000000
23,38.757492,40.000000,0.968937,0.960198,0.979994
30,27.035490,28.000000,0.965553,0.961080,0.974264
34,28.933748,30.000000,0.964458,0.960733,0.973084
35,3.999866,4.000000,0.999967,0.999967,0.999967
419,13.731513,14.000000,0.980822,0.965824,0.996196
37,11.999999,12.000000,1.000000,1.000000,1.000000
39,17.678936,18.000000,0.982163,0.967383,0.993484
40,3.985606,4.000000,0.996402,0.996402,0.996402
41,3.996928,4.000000,0.999232,0.999232,0.999232
433,7.739674,8.000000,0.967459,0.965538,0.969381
43,3.993423,4.000000,0.998356,0.998356,0.998356
44,3.850880,4.000000,0.962720,0.962720,0.962720
45,15.962313,16.000000,0.997645,0.990580,0.999999
437,13.578540,14.000000,0.969896,0.961516,0.973678
46,3.999999,4.000000,1.000000,1.000000,1.000000
47,11.937873,12.000000,0.994823,0.992234,1.000000
49,19.836637,20.000000,0.991832,0.985698,0.996914
51,11.795594,12.000000,0.982966,0.973818,0.996530
435,3.888020,4.000000,0.972005,0.972005,0.972005
55,3.976945,4.000000,0.994236,0.994236,0.994236
391,4.000000,4.000000,1.000000,1.000000,1.000000
57,3.998508,4.000000,0.999627,0.999627,0.999627
59,3.930137,4.000000,0.982534,0.982534,0.982534
443,3.883151,4.000000,0.970788,0.970788,0.970788
60,3.985239,4.000000,0.996310,0.996310,0.996310
66,3.987349,4.000000,0.996837,0.996837,0.996837
75,3.983011,4.000000,0.995753,0.995753,0.995753
76,3.869053,4.000000,0.967263,0.967263,0.967263
81,3.848428,4.000000,0.962107,0.962107,0.962107
473,3.956990,4.000000,0.989248,0.989248,0.989248
477,13.563597,14.000000,0.968828,0.963425,0.973122
94,3.853691,4.000000,0.963423,0.963423,0.963423
99,3.916837,4.000000,0.979209,0.979209,0.979209
100,3.897937,4.000000,0.974484,0.974484,0.974484
101,3.909045,4.000000,0.977261,0.977261,0.977261
104,3.900447,4.000000,0.975112,0.975112,0.975112
105,21.329102,22.000000,0.969505,0.961451,0.973405
110,15.980080,16.000000,0.998755,0.997510,1.000000
111,15.976344,16.000000,0.998522,0.996601,1.000000
117,3.848024,4.000000,0.962006,0.962006,0.962006
121,19.596323,20.000000,0.979816,0.971425,0.989906
129,11.548284,12.000000,0.962357,0.960678,0.963446
136,25.405777,26.000000,0.977145,0.961977,0.984248
142,15.717432,16.000000,0.982340,0.977977,0.986669
143,3.891992,4.000000,0.972998,0.972998,0.972998
146,3.915790,4.000000,0.978947,0.978947,0.978947
155,3.884703,4.000000,0.971176,0.971176,0.971176
157,11.667316,12.000000,0.972276,0.966534,0.977366
158,3.883502,4.000000,0.970876,0.970876,0.970876
165,7.766695,8.000000,0.970837,0.967079,0.974594
166,11.857359,12.000000,0.988113,0.982170,1.000000
177,21.302740,22.000000,0.968306,0.960090,0.975744
308,19.597208,20.000000,0.979860,0.961184,0.988369
302,3.895115,4.000000,0.973779,0.973779,0.973779
