__id,component_id,sum,count,mean_distance,min_distance,max_distance
0,0,23.9331,24.0000,0.9972,0.9903,0.9997
1,1,0.0000,0.0000,0.0000,0.0000,0.0000
2,2,0.0000,0.0000,0.0000,0.0000,0.0000
3,3,0.0000,0.0000,0.0000,0.0000,0.0000
4,4,0.0000,0.0000,0.0000,0.0000,0.0000
5,5,0.0000,0.0000,0.0000,0.0000,0.0000
6,6,0.0000,0.0000,0.0000,0.0000,0.0000
7,7,0.0000,0.0000,0.0000,0.0000,0.0000
8,8,12.0000,12.0000,1.0000,1.0000,1.0000
9,9,12.0000,12.0000,1.0000,1.0000,1.0000
10,10,12.0000,12.0000,1.0000,1.0000,1.0000
11,11,12.0000,12.0000,1.0000,1.0000,1.0000
12,12,12.0000,12.0000,1.0000,1.0000,1.0000
13,9,12.0000,12.0000,1.0000,1.0000,1.0000
14,10,12.0000,12.0000,1.0000,1.0000,1.0000
15,11,12.0000,12.0000,1.0000,1.0000,1.0000
16,8,12.0000,12.0000,1.0000,1.0000,1.0000
17,12,12.0000,12.0000,1.0000,1.0000,1.0000
18,8,12.0000,12.0000,1.0000,1.0000,1.0000
19,12,12.0000,12.0000,1.0000,1.0000,1.0000
20,9,12.0000,12.0000,1.0000,1.0000,1.0000
21,11,12.0000,12.0000,1.0000,1.0000,1.0000
22,10,12.0000,12.0000,1.0000,1.0000,1.0000
23,13,0.0000,0.0000,0.0000,0.0000,0.0000
24,14,0.0000,0.0000,0.0000,0.0000,0.0000
25,15,0.0000,0.0000,0.0000,0.0000,0.0000
26,16,0.0000,0.0000,0.0000,0.0000,0.0000
27,17,7.7662,8.0000,0.9708,0.9660,0.9755
28,17,7.7662,8.0000,0.9708,0.9660,0.9755
29,17,7.7662,8.0000,0.9708,0.9660,0.9755
30,18,0.0000,0.0000,0.0000,0.0000,0.0000
31,19,538.6998,554.0000,0.9724,0.9601,1.0000
32,20,0.0000,0.0000,0.0000,0.0000,0.0000
33,21,0.0000,0.0000,0.0000,0.0000,0.0000
34,22,0.0000,0.0000,0.0000,0.0000,0.0000
35,23,38.7575,40.0000,0.9689,0.9602,0.9800
36,24,0.0000,0.0000,0.0000,0.0000,0.0000
37,25,0.0000,0.0000,0.0000,0.0000,0.0000
38,26,0.0000,0.0000,0.0000,0.0000,0.0000
39,27,0.0000,0.0000,0.0000,0.0000,0.0000
40,28,0.0000,0.0000,0.0000,0.0000,0.0000
41,29,0.0000,0.0000,0.0000,0.0000,0.0000
42,30,27.0355,28.0000,0.9656,0.9611,0.9743
43,30,27.0355,28.0000,0.9656,0.9611,0.9743
44,30,27.0355,28.0000,0.9656,0.9611,0.9743
45,31,0.0000,0.0000,0.0000,0.0000,0.0000
