index,filename,cluster,distance
601,dataset\82. academicDigital\academicDigital0000775.jpg,4,1055.387573
1250,dataset\82. academicDigital\academicDigital0001782.jpg,4,770.415039
794,dataset\82. academicDigital\academicDigital0001063.jpg,4,749.638672
1248,dataset\82. academicDigital\academicDigital0001759.jpg,4,717.614868
607,dataset\82. academicDigital\academicDigital0000784.jpg,4,669.848022
456,dataset\82. academicDigital\academicDigital0000585.jpg,6,648.874512
363,dataset\82. academicDigital\academicDigital0000474.jpg,4,614.844543
992,dataset\82. academicDigital\academicDigital0001370.jpg,6,600.197205
985,dataset\82. academicDigital\academicDigital0001356.jpg,6,598.598938
1048,dataset\82. academicDigital\academicDigital0001440.jpg,0,574.286377
935,dataset\82. academicDigital\academicDigital0001276.jpg,4,562.949890
591,dataset\82. academicDigital\academicDigital0000761.jpg,6,551.636108
860,dataset\82. academicDigital\academicDigital0001158.jpg,4,550.050415
1087,dataset\82. academicDigital\academicDigital0001502.jpg,7,544.433594
1240,dataset\82. academicDigital\academicDigital0001731.jpg,4,538.649841
1251,dataset\82. academicDigital\academicDigital0001784.jpg,4,535.563721
1253,dataset\82. academicDigital\academicDigital0001786.jpg,4,535.546082
1384,dataset\82. academicDigital\academicDigital0001930.jpg,4,532.658630
1084,dataset\82. academicDigital\academicDigital0001499.jpg,7,528.011353
1077,dataset\82. academicDigital\academicDigital0001490.jpg,4,527.982483
1176,dataset\82. academicDigital\academicDigital0001640.jpg,4,512.048584
635,dataset\82. academicDigital\academicDigital0000832.jpg,4,508.697144
880,dataset\82. academicDigital\academicDigital0001194.jpg,4,494.127502
617,dataset\82. academicDigital\academicDigital0000803.jpg,6,491.609131
1140,dataset\82. academicDigital\academicDigital0001585.jpg,9,483.209595
592,dataset\82. academicDigital\academicDigital0000762.jpg,6,481.642212
1254,dataset\82. academicDigital\academicDigital0001787.jpg,4,480.770630
1086,dataset\82. academicDigital\academicDigital0001501.jpg,7,478.816772
1085,dataset\82. academicDigital\academicDigital0001500.jpg,7,463.065430
1252,dataset\82. academicDigital\academicDigital0001785.jpg,4,461.556091
1235,dataset\82. academicDigital\academicDigital0001718.jpg,7,459.370605
1195,dataset\82. academicDigital\academicDigital0001663.jpg,7,456.280884
24,dataset\82. academicDigital\academicDigital0000030.jpg,4,442.946533
871,dataset\82. academicDigital\academicDigital0001179.jpg,2,440.882324
884,dataset\82. academicDigital\academicDigital0001201.jpg,4,438.612610
105,dataset\82. academicDigital\academicDigital0000145.jpg,7,432.338379
1017,dataset\82. academicDigital\academicDigital0001403.jpg,4,424.405090
606,dataset\82. academicDigital\academicDigital0000783.jpg,4,419.614807
1356,dataset\82. academicDigital\academicDigital0001898.jpg,3,415.405151
1080,dataset\82. academicDigital\academicDigital0001495.jpg,4,413.929749
1198,dataset\82. academicDigital\academicDigital0001666.jpg,4,403.546997
1042,dataset\82. academicDigital\academicDigital0001431.jpg,2,402.462341
846,dataset\82. academicDigital\academicDigital0001144.jpg,6,401.521606
1375,dataset\82. academicDigital\academicDigital0001920.jpg,4,399.414673
1386,dataset\82. academicDigital\academicDigital0001932.jpg,7,392.890137
811,dataset\82. academicDigital\academicDigital0001093.jpg,4,392.495422
1345,dataset\82. academicDigital\academicDigital0001885.jpg,3,388.889282
943,dataset\82. academicDigital\academicDigital0001285.jpg,3,387.213623
529,dataset\82. academicDigital\academicDigital0000677.jpg,7,384.679688
528,dataset\82. academicDigital\academicDigital0000676.jpg,7,383.207520
1194,dataset\82. academicDigital\academicDigital0001661.jpg,0,382.544922
1387,dataset\82. academicDigital\academicDigital0001933.jpg,7,380.474182
861,dataset\82. academicDigital\academicDigital0001159.jpg,7,374.360901
1164,dataset\82. academicDigital\academicDigital0001627.jpg,3,370.869995
1181,dataset\82. academicDigital\academicDigital0001646.jpg,3,368.849670
1182,dataset\82. academicDigital\academicDigital0001647.jpg,3,368.849670
1230,dataset\82. academicDigital\academicDigital0001710.jpg,7,365.013184
633,dataset\82. academicDigital\academicDigital0000828.jpg,6,360.569641
1308,dataset\82. academicDigital\academicDigital0001842.jpg,4,359.678345
182,dataset\82. academicDigital\academicDigital0000252.jpg,7,356.771057
1196,dataset\82. academicDigital\academicDigital0001664.jpg,1,356.610657
1357,dataset\82. academicDigital\academicDigital0001901.jpg,4,355.299438
866,dataset\82. academicDigital\academicDigital0001172.jpg,6,352.755615
979,dataset\82. academicDigital\academicDigital0001342.jpg,4,350.662598
362,dataset\82. academicDigital\academicDigital0000473.jpg,6,345.118469
425,dataset\82. academicDigital\academicDigital0000546.jpg,7,341.271729
61,dataset\82. academicDigital\academicDigital0000086.jpg,7,338.572876
1031,dataset\82. academicDigital\academicDigital0001418.jpg,4,338.218384
