from,to,distance
186,1386,0.826328
592,643,0.825880
7,648,0.825571
1006,569,0.825362
114,160,0.824902
966,1028,0.824109
805,934,0.823762
1252,1250,0.823502
1250,1252,0.823502
702,734,0.823065
1006,930,0.823064
7,650,0.822850
1003,580,0.822686
1093,998,0.822328
1188,805,0.822061
871,1357,0.821738
1119,640,0.821222
564,641,0.821178
455,446,0.820969
233,1093,0.820611
884,1119,0.820259
1253,1252,0.819968
1252,1253,0.819968
1249,1254,0.819613
1254,1249,0.819613
1001,823,0.819316
552,140,0.819283
966,582,0.818484
795,1345,0.818100
1200,366,0.817405
1200,620,0.817362
846,823,0.815767
3,846,0.815322
846,3,0.815322
1140,358,0.814946
1356,1355,0.813984
635,281,0.813768
552,1221,0.813171
1003,457,0.812804
233,1167,0.812335
1254,1248,0.811875
871,1283,0.811458
808,1018,0.810571
639,638,0.810259
936,934,0.809483
1251,1249,0.807335
1144,696,0.806137
606,605,0.805849
702,448,0.804953
1042,270,0.803114
1088,1009,0.802018
949,941,0.801563
720,808,0.800252
808,720,0.800252
1042,974,0.799599
974,1042,0.799599
1144,324,0.799457
630,1386,0.796323
633,643,0.796221
949,936,0.794812
936,949,0.794812
974,1175,0.794039
979,711,0.793858
860,424,0.792968
1164,458,0.792334
633,592,0.792268
592,633,0.792268
795,933,0.791684
1088,1095,0.791528
555,646,0.790884
1164,43,0.789392
720,212,0.789224
553,1243,0.789143
617,592,0.787586
1356,129,0.786303
792,448,0.786137
639,308,0.783738
1384,1230,0.783242
24,824,0.782906
792,361,0.782438
1001,846,0.778857
1253,847,0.778138
630,216,0.778132
1384,61,0.776875
866,3,0.776625
24,1018,0.775689
591,590,0.773780
617,591,0.772639
362,734,0.771586
470,647,0.770911
182,186,0.769789
583,361,0.769540
1002,1362,0.767947
561,53,0.767636
583,517,0.766327
601,650,0.765938
979,874,0.765562
561,37,0.765437
601,1345,0.765207
182,590,0.764371
860,263,0.760556
608,630,0.760182
1002,877,0.758395
1077,1143,0.758159
943,732,0.755174
878,620,0.753526
1017,281,0.753150
878,324,0.750685
608,866,0.749818
991,646,0.749451
943,581,0.748349
1198,936,0.743352
635,634,0.743228
1017,405,0.741060
861,1200,0.740026
985,395,0.739558
1198,705,0.739358
880,847,0.738244
1250,1253,0.736228
1140,1116,0.735929
880,635,0.733547
1077,805,0.728432
985,455,0.726888
1217,362,0.726625
362,1217,0.726625
935,1077,0.725696
992,1001,0.723944
1048,1060,0.715840
992,846,0.713502
456,1179,0.713273
811,405,0.707248
811,1238,0.707169
935,805,0.706365
1176,720,0.706199
425,1388,0.706189
425,1223,0.704546
1048,974,0.701076
861,34,0.700876
1181,1183,0.696552
1182,1183,0.696552
456,991,0.696472
1176,1181,0.677355
363,174,0.673747
363,621,0.667431
