from,to,distance
21,11,1.000000
21,15,1.000000
545,541,1.000000
541,545,1.000000
1181,1182,1.000000
628,627,1.000000
15,11,1.000000
15,21,1.000000
74,70,1.000000
416,415,1.000000
70,74,1.000000
627,628,1.000000
415,416,1.000000
252,258,1.000000
258,252,1.000000
1182,1181,1.000000
11,15,1.000000
11,21,1.000000
783,784,1.000000
815,798,1.000000
618,614,1.000000
614,618,1.000000
798,815,1.000000
784,783,1.000000
9,13,1.000000
9,20,1.000000
13,9,1.000000
13,20,1.000000
20,9,1.000000
20,13,1.000000
1234,1233,1.000000
164,166,1.000000
166,164,1.000000
76,72,1.000000
72,76,1.000000
1233,1234,1.000000
547,543,1.000000
543,547,1.000000
59,52,1.000000
51,59,1.000000
900,897,1.000000
52,51,1.000000
897,900,1.000000
544,540,1.000000
52,59,1.000000
540,544,1.000000
59,51,1.000000
51,52,1.000000
865,864,1.000000
542,546,1.000000
71,75,1.000000
864,865,1.000000
546,542,1.000000
75,71,1.000000
17,19,1.000000
18,8,1.000000
1022,1023,1.000000
16,18,1.000000
1023,1025,1.000000
16,8,1.000000
12,19,1.000000
1022,1025,1.000000
12,17,1.000000
1023,1021,1.000000
8,16,1.000000
17,12,1.000000
8,18,1.000000
1021,1023,1.000000
19,17,1.000000
1024,1021,1.000000
19,12,1.000000
1024,1023,1.000000
1024,1025,1.000000
1025,1021,1.000000
1025,1023,1.000000
1021,1025,1.000000
1022,1021,1.000000
18,16,1.000000
266,264,1.000000
264,266,1.000000
535,538,1.000000
538,535,1.000000
73,78,0.999999
78,69,0.999999
78,73,0.999999
354,355,0.999999
355,354,0.999999
69,73,0.999999
73,69,0.999999
69,78,0.999999
10,14,0.999999
10,22,0.999999
14,10,0.999999
14,22,0.999999
22,10,0.999999
22,14,0.999999
491,490,0.999999
490,491,0.999999
387,408,0.999985
408,387,0.999985
1398,998,0.999983
998,1398,0.999983
999,1399,0.999979
1399,999,0.999979
115,49,0.999967
49,115,0.999967
1397,997,0.999966
997,1397,0.999966
1392,951,0.999964
951,1392,0.999964
674,677,0.999955
677,674,0.999955
336,325,0.999948
325,336,0.999948
995,1394,0.999947
1394,995,0.999947
1396,993,0.999943
993,1396,0.999943
529,528,0.999935
528,529,0.999935
573,572,0.999927
572,573,0.999927
338,323,0.999886
323,338,0.999886
331,332,0.999876
332,331,0.999876
1395,994,0.999876
994,1395,0.999876
1393,996,0.999820
996,1393,0.999820
326,335,0.999808
335,326,0.999808
322,339,0.999794
339,322,0.999794
321,340,0.999772
340,321,0.999772
327,334,0.999757
334,327,0.999757
328,333,0.999727
333,328,0.999727
165,257,0.999708
257,165,0.999708
66,60,0.999679
60,66,0.999679
97,1223,0.999627
1223,97,0.999627
324,337,0.999622
337,324,0.999622
731,730,0.999554
730,731,0.999554
1229,62,0.999232
62,1229,0.999232
729,730,0.999158
730,729,0.999158
0,66,0.999132
66,0,0.999132
729,731,0.999027
731,729,0.999027
650,648,0.998844
648,650,0.998844
0,60,0.998835
60,0,0.998835
67,1227,0.998455
1227,67,0.998455
64,1224,0.998356
1224,64,0.998356
1204,386,0.998092
386,1204,0.998092
166,252,0.997510
252,166,0.997510
164,252,0.997510
258,166,0.997510
1234,257,0.997385
257,1233,0.997385
1233,257,0.997385
79,60,0.997175
1280,1281,0.997119
1281,1280,0.997119
84,83,0.996914
83,84,0.996914
108,1232,0.996837
1232,108,0.996837
165,1233,0.996601
88,89,0.996530
89,88,0.996530
79,66,0.996514
61,1230,0.996402
1230,61,0.996402
102,1218,0.996310
1218,102,0.996310
647,646,0.996196
646,647,0.996196
119,118,0.995753
118,119,0.995753
419,379,0.994727
379,419,0.994727
94,95,0.994236
95,94,0.994236
1269,1273,0.993828
1273,1269,0.993828
56,55,0.993484
55,56,0.993484
1417,1416,0.993332
1416,1417,0.993332
699,693,0.993096
693,699,0.993096
83,86,0.992719
86,83,0.992719
1208,323,0.992656
323,1208,0.992656
1225,76,0.992234
1225,72,0.992234
72,1225,0.992234
76,1225,0.992234
1208,338,0.992155
338,1208,0.992155
328,1213,0.991786
1213,328,0.991786
1312,1316,0.991757
1316,1312,0.991757
84,86,0.991715
86,84,0.991715
1213,333,0.991623
333,1213,0.991623
1220,332,0.991081
332,1220,0.991081
652,655,0.990693
655,652,0.990693
1226,73,0.990580
1226,69,0.990580
81,82,0.990560
82,81,0.990560
1227,66,0.990355
67,0,0.990330
350,347,0.990285
347,350,0.990285
1220,331,0.990273
331,1220,0.990273
348,349,0.990060
349,348,0.990060
183,184,0.989906
184,183,0.989906
901,902,0.989667
902,901,0.989667
738,736,0.989248
736,738,0.989248
1270,1269,0.988831
1269,1270,0.988831
82,84,0.988804
677,691,0.988674
691,677,0.988674
282,284,0.988658
284,282,0.988658
282,286,0.988656
286,282,0.988656
512,510,0.988369
510,512,0.988369
674,691,0.988311
691,674,0.988311
400,387,0.988149
387,400,0.988149
408,400,0.988144
400,408,0.988144
692,673,0.987866
673,692,0.987866
681,678,0.987800
678,681,0.987800
284,286,0.987731
286,284,0.987731
1352,1351,0.987669
1351,1352,0.987669
336,1210,0.987403
1210,336,0.987403
285,286,0.987241
351,349,0.987216
349,351,0.987216
1210,325,0.987113
325,1210,0.987113
1264,1269,0.987106
1270,1264,0.987063
1264,1270,0.987063
357,350,0.986997
350,357,0.986997
369,371,0.986930
371,369,0.986930
644,648,0.986820
648,644,0.986820
211,217,0.986669
217,211,0.986669
650,644,0.986471
644,650,0.986471
1273,1272,0.986190
1272,1273,0.986190
1212,334,0.986110
334,1212,0.986110
1271,1270,0.985781
81,86,0.985698
337,1209,0.985577
1209,337,0.985577
906,908,0.985546
908,906,0.985546
211,210,0.985468
210,211,0.985468
1211,326,0.985439
326,1211,0.985439
335,1211,0.985437
1211,335,0.985437
1343,1344,0.985409
1344,1343,0.985409
716,718,0.985345
718,716,0.985345
327,1212,0.985235
1212,327,0.985235
692,677,0.985171
301,302,0.985133
302,301,0.985133
489,490,0.984993
491,489,0.984993
490,489,0.984993
489,491,0.984993
288,289,0.984729
289,288,0.984729
295,302,0.984710
302,295,0.984710
295,301,0.984552
301,295,0.984552
357,347,0.984487
347,357,0.984487
1026,1027,0.984304
1027,1026,0.984304
1206,340,0.984278
340,1206,0.984278
574,573,0.984277
573,574,0.984277
226,220,0.984248
220,226,0.984248
1100,1103,0.984233
1103,1100,0.984233
791,802,0.984147
802,791,0.984147
690,677,0.984065
572,574,0.983946
574,572,0.983946
507,514,0.983880
514,507,0.983880
717,715,0.983866
715,717,0.983866
321,1206,0.983774
1206,321,0.983774
370,327,0.983754
351,357,0.983741
1271,1264,0.983627
356,349,0.983608
324,1209,0.983557
1209,324,0.983557
184,180,0.983535
180,184,0.983535
285,284,0.983487
690,674,0.983480
1272,1269,0.983433
937,941,0.983248
941,937,0.983248
372,1212,0.983186
917,498,0.983181
498,917,0.983181
288,306,0.983012
306,288,0.983012
1202,1201,0.982925
1201,1202,0.982925
370,334,0.982853
1103,1101,0.982828
1101,1103,0.982828
386,400,0.982823
548,543,0.982670
548,547,0.982670
543,548,0.982670
547,548,0.982670
100,101,0.982534
101,100,0.982534
1204,400,0.982420
1102,1103,0.982386
712,715,0.982313
715,712,0.982313
593,596,0.982269
596,593,0.982269
264,256,0.982170
266,256,0.982170
256,264,0.982170
256,266,0.982170
374,377,0.982120
377,374,0.982120
283,286,0.982117
368,375,0.981866
375,368,0.981866
339,1207,0.981767
1207,339,0.981767
57,54,0.981761
54,57,0.981761
1101,1102,0.981704
1102,1101,0.981704
55,58,0.981686
58,55,0.981686
1268,1270,0.981627
1258,1255,0.981423
1255,1258,0.981423
298,301,0.981339
388,502,0.981137
502,388,0.981137
1087,1085,0.981111
1085,1087,0.981111
377,368,0.981075
368,377,0.981075
1258,1259,0.981021
1259,1258,0.981021
1267,411,0.981006
411,1267,0.981006
571,574,0.980991
374,376,0.980907
376,374,0.980907
322,1207,0.980883
1207,322,0.980883
1268,1271,0.980692
352,351,0.980649
179,183,0.980636
183,179,0.980636
1309,1306,0.980603
1306,1309,0.980603
881,388,0.980552
388,881,0.980552
1010,922,0.980403
922,1010,0.980403
1321,1334,0.979994
1334,1321,0.979994
373,1208,0.979940
461,460,0.979738
460,461,0.979738
957,1317,0.979607
1317,957,0.979607
306,284,0.979542
215,220,0.979411
220,215,0.979411
221,200,0.979353
200,221,0.979353
212,211,0.979343
1265,1267,0.979294
1267,1265,0.979294
146,154,0.979209
154,146,0.979209
989,990,0.979204
990,989,0.979204
215,226,0.979172
226,215,0.979172
509,510,0.979146
510,509,0.979146
56,58,0.979112
58,56,0.979112
373,323,0.978998
223,224,0.978947
224,223,0.978947
509,512,0.978879
512,509,0.978879
1276,1275,0.978811
1275,1276,0.978811
389,411,0.978703
411,389,0.978703
678,692,0.978602
210,217,0.978561
217,210,0.978561
87,89,0.978551
89,87,0.978551
1100,1101,0.978549
679,691,0.978402
673,691,0.978334
515,917,0.978281
917,515,0.978281
297,298,0.978165
298,297,0.978165
212,217,0.977977
379,404,0.977762
404,379,0.977762
356,350,0.977572
375,377,0.977543
221,215,0.977482
239,240,0.977366
240,239,0.977366
1265,411,0.977311
645,647,0.977302
647,645,0.977302
149,151,0.977261
151,149,0.977261
460,465,0.977080
465,460,0.977080
1029,1030,0.977061
1030,1029,0.977061
679,674,0.976960
854,855,0.976952
855,854,0.976952
419,388,0.976945
289,307,0.976882
307,289,0.976882
507,510,0.976873
1055,547,0.976690
1055,543,0.976690
1259,1262,0.976545
1262,1259,0.976545
645,646,0.976468
646,645,0.976468
1095,1094,0.976411
1094,1095,0.976411
964,916,0.976403
916,964,0.976403
1261,1265,0.976204
716,712,0.976015
712,716,0.976015
758,760,0.975899
760,758,0.975899
283,282,0.975857
718,712,0.975831
1307,1267,0.975828
299,298,0.975748
768,1186,0.975744
1186,768,0.975744
348,356,0.975507
29,28,0.975496
28,29,0.975496
461,457,0.975485
457,461,0.975485
881,502,0.975374
502,881,0.975374
515,498,0.975217
498,515,0.975217
1317,1336,0.975168
1336,1317,0.975168
156,157,0.975112
157,156,0.975112
297,295,0.975100
1327,1328,0.975080
1328,1327,0.975080
632,631,0.974943
631,632,0.974943
459,463,0.974940
463,459,0.974940
180,183,0.974934
376,373,0.974912
772,419,0.974784
503,489,0.974626
1340,1332,0.974611
1332,1340,0.974611
655,653,0.974602
653,655,0.974602
445,521,0.974594
521,445,0.974594
409,402,0.974580
402,409,0.974580
148,147,0.974484
147,148,0.974484
540,548,0.974429
544,548,0.974429
44,42,0.974264
42,44,0.974264
602,611,0.974249
611,602,0.974249
865,881,0.974231
864,881,0.974231
413,1409,0.974093
1409,413,0.974093
413,394,0.974075
394,413,0.974075
1389,1134,0.974064
1134,1389,0.974064
1352,1350,0.974052
1350,1352,0.974052
717,716,0.973913
394,1409,0.973880
1409,394,0.973880
457,460,0.973819
87,88,0.973818
88,87,0.973818
488,485,0.973779
485,488,0.973779
372,373,0.973752
680,676,0.973678
676,680,0.973678
1275,1344,0.973582
1344,1275,0.973582
1256,1261,0.973458
1261,1256,0.973458
772,379,0.973416
177,222,0.973405
222,177,0.973405
525,789,0.973395
789,525,0.973395
404,388,0.973338
442,443,0.973333
443,442,0.973333
541,542,0.973301
542,541,0.973301
545,542,0.973301
546,541,0.973301
1263,1269,0.973290
1257,1417,0.973289
1417,1257,0.973289
299,295,0.973289
