component_id,mean,sum,count,min,max
1052,3.971438,4.000000,0.992859,0.992859,0.992859
399,15.443778,16.000000,0.965236,0.961372,0.968976
1970,4.000000,4.000000,1.000000,1.000000,1.000000
3090,3.924907,4.000000,0.981227,0.981227,0.981227
952,3.990759,4.000000,0.997690,0.997690,0.997690
1471,15.981773,16.000000,0.998861,0.995445,1.000000
956,3.990894,4.000000,0.997724,0.997724,0.997724
3170,3.864999,4.000000,0.966250,0.966250,0.966250
908,3.971470,4.000000,0.992867,0.992867,0.992867
1874,3.985472,4.000000,0.996368,0.996368,0.996368
1367,13.626467,14.000000,0.973319,0.962290,0.980679
2758,3.874219,4.000000,0.968555,0.968555,0.968555
1735,4.000000,4.000000,1.000000,1.000000,1.000000
1361,27.053459,28.000000,0.966195,0.960035,0.974998
1028,3.979342,4.000000,0.994835,0.994835,0.994835
856,11.921592,12.000000,0.993466,0.990199,1.000000
1375,4.000000,4.000000,1.000000,1.000000,1.000000
45,3.842355,4.000000,0.960589,0.960589,0.960589
1038,3.978543,4.000000,0.994636,0.994636,0.994636
441,7.730883,8.000000,0.966360,0.966122,0.966599
932,3.924176,4.000000,0.981044,0.981044,0.981044
1044,3.977145,4.000000,0.994286,0.994286,0.994286
936,3.978725,4.000000,0.994681,0.994681,0.994681
1046,3.985055,4.000000,0.996264,0.996264,0.996264
60,3.907959,4.000000,0.976990,0.976990,0.976990
940,3.937508,4.000000,0.984377,0.984377,0.984377
62,3.904712,4.000000,0.976178,0.976178,0.976178
1008,11.688509,12.000000,0.974042,0.963731,0.993932
1012,4.000000,4.000000,1.000000,1.000000,1.000000
3154,3.846478,4.000000,0.961619,0.961619,0.961619
3579,3.989920,4.000000,0.997480,0.997480,0.997480
2042,3.845538,4.000000,0.961384,0.961384,0.961384
1020,3.989223,4.000000,0.997306,0.997306,0.997306
1529,21.294485,22.000000,0.967931,0.962082,0.972436
1853,4.000000,4.000000,1.000000,1.000000,1.000000
1986,3.980230,4.000000,0.995057,0.995057,0.995057
1479,13.547811,14.000000,0.967701,0.960016,0.972568
1473,15.987407,16.000000,0.999213,0.996850,1.000000
88,3.866498,4.000000,0.966624,0.966624,0.966624
3897,3.999380,4.000000,0.999845,0.999845,0.999845
1481,3.906081,4.000000,0.976520,0.976520,0.976520
97,3.856621,4.000000,0.964155,0.964155,0.964155
912,3.992620,4.000000,0.998155,0.998155,0.998155
98,3.850530,4.000000,0.962633,0.962633,0.962633
1938,3.869821,4.000000,0.967455,0.967455,0.967455
493,7.765012,8.000000,0.970626,0.964032,0.977221
497,3.882694,4.000000,0.970673,0.970673,0.970673
1946,3.989063,4.000000,0.997266,0.997266,0.997266
1439,3.996744,4.000000,0.999186,0.999186,0.999186
992,11.918334,12.000000,0.993195,0.989792,1.000000
1511,3.986722,4.000000,0.996681,0.996681,0.996681
996,3.999999,4.000000,1.000000,1.000000,1.000000
1108,3.999998,4.000000,0.999999,0.999999,0.999999
1000,3.975939,4.000000,0.993985,0.993985,0.993985
1519,11.901452,12.000000,0.991788,0.987682,1.000000
1004,3.965535,4.000000,0.991384,0.991384,0.991384
1811,3.999999,4.000000,1.000000,1.000000,1.000000
130,3.841994,4.000000,0.960498,0.960498,0.960498
1215,4.000000,4.000000,1.000000,1.000000,1.000000
1899,4.000000,4.000000,1.000000,1.000000,1.000000
3895,3.999655,4.000000,0.999914,0.999914,0.999914
984,11.963287,12.000000,0.996941,0.995411,1.000000
988,11.976288,12.000000,0.998024,0.997036,1.000000
1795,4.000000,4.000000,1.000000,1.000000,1.000000
1992,3.999999,4.000000,1.000000,1.000000,1.000000
1803,3.949598,4.000000,0.987399,0.987399,0.987399
2000,4.000000,4.000000,1.000000,1.000000,1.000000
304,3.844835,4.000000,0.961209,0.961209,0.961209
193,3.870385,4.000000,0.967596,0.967596,0.967596
1875,3.977530,4.000000,0.994383,0.994383,0.994383
1364,3.856833,4.000000,0.964208,0.964208,0.964208
857,3.916839,4.000000,0.979210,0.979210,0.979210
1374,4.000000,4.000000,1.000000,1.000000,1.000000
3625,4.000000,4.000000,1.000000,1.000000,1.000000
861,3.871148,4.000000,0.967787,0.967787,0.967787
2595,4.000000,4.000000,1.000000,1.000000,1.000000
3410,17.534800,18.000000,0.974156,0.960149,0.985057
330,3.846853,4.000000,0.961713,0.961713,0.961713
933,3.987283,4.000000,0.996821,0.996821,0.996821
4007,3.842504,4.000000,0.960626,0.960626,0.960626
937,3.988534,4.000000,0.997133,0.997133,0.997133
941,3.910493,4.000000,0.977623,0.977623,0.977623
1217,4.000000,4.000000,1.000000,1.000000,1.000000
3229,3.877569,4.000000,0.969392,0.969392,0.969392
