index,filename,cluster,distance
2531,dataset\81. academicPhotos\academicPhotos0002710.jpg,0,1165.475708
4307,dataset\81. academicPhotos\academicPhotos0004702.jpg,6,1145.871338
4592,dataset\81. academicPhotos\academicPhotos0005009.jpg,7,1052.019043
4225,dataset\81. academicPhotos\academicPhotos0004614.jpg,6,982.914368
24,dataset\81. academicPhotos\academicPhotos0000025.jpg,3,896.757202
604,dataset\81. academicPhotos\academicPhotos0000626.jpg,0,844.822632
5401,dataset\81. academicPhotos\academicPhotos0005860.jpg,6,841.218872
4902,dataset\81. academicPhotos\academicPhotos0005335.jpg,3,836.029541
221,dataset\81. academicPhotos\academicPhotos0000229.jpg,3,830.407837
1058,dataset\81. academicPhotos\academicPhotos0001130.jpg,3,825.686951
1089,dataset\81. academicPhotos\academicPhotos0001161.jpg,3,825.686951
3328,dataset\81. academicPhotos\academicPhotos0003593.jpg,0,793.414246
3857,dataset\81. academicPhotos\academicPhotos0004196.jpg,9,788.246826
2382,dataset\81. academicPhotos\academicPhotos0002551.jpg,3,780.255798
2495,dataset\81. academicPhotos\academicPhotos0002671.jpg,5,778.385254
2383,dataset\81. academicPhotos\academicPhotos0002552.jpg,3,775.034363
3252,dataset\81. academicPhotos\academicPhotos0003498.jpg,0,774.785583
2317,dataset\81. academicPhotos\academicPhotos0002482.jpg,6,765.295532
3098,dataset\81. academicPhotos\academicPhotos0003322.jpg,0,755.180176
3865,dataset\81. academicPhotos\academicPhotos0004204.jpg,8,749.956848
5330,dataset\81. academicPhotos\academicPhotos0005783.jpg,0,744.057251
5528,dataset\81. academicPhotos\academicPhotos0006000.jpg,5,742.919678
526,dataset\81. academicPhotos\academicPhotos0000545.jpg,1,740.780396
2736,dataset\81. academicPhotos\academicPhotos0002921.jpg,1,730.509827
4075,dataset\81. academicPhotos\academicPhotos0004449.jpg,0,728.706787
662,dataset\81. academicPhotos\academicPhotos0000690.jpg,2,727.915161
5020,dataset\81. academicPhotos\academicPhotos0005465.jpg,2,727.185547
525,dataset\81. academicPhotos\academicPhotos0000544.jpg,1,727.067383
2964,dataset\81. academicPhotos\academicPhotos0003168.jpg,0,720.733032
2460,dataset\81. academicPhotos\academicPhotos0002633.jpg,0,720.248718
5262,dataset\81. academicPhotos\academicPhotos0005713.jpg,3,718.081726
516,dataset\81. academicPhotos\academicPhotos0000535.jpg,1,713.703125
650,dataset\81. academicPhotos\academicPhotos0000678.jpg,3,712.967041
4,dataset\81. academicPhotos\academicPhotos0000004.jpg,0,711.835327
2184,dataset\81. academicPhotos\academicPhotos0002337.jpg,1,710.425537
966,dataset\81. academicPhotos\academicPhotos0001030.jpg,0,706.138184
580,dataset\81. academicPhotos\academicPhotos0000601.jpg,3,703.309814
3131,dataset\81. academicPhotos\academicPhotos0003364.jpg,1,700.228821
656,dataset\81. academicPhotos\academicPhotos0000684.jpg,3,695.398376
3929,dataset\81. academicPhotos\academicPhotos0004285.jpg,9,694.959961
527,dataset\81. academicPhotos\academicPhotos0000546.jpg,1,692.427124
3989,dataset\81. academicPhotos\academicPhotos0004360.jpg,0,691.578369
2553,dataset\81. academicPhotos\academicPhotos0002732.jpg,4,688.160889
524,dataset\81. academicPhotos\academicPhotos0000543.jpg,1,687.271484
2760,dataset\81. academicPhotos\academicPhotos0002945.jpg,0,683.027832
3075,dataset\81. academicPhotos\academicPhotos0003293.jpg,0,682.318481
5161,dataset\81. academicPhotos\academicPhotos0005610.jpg,0,681.370850
2278,dataset\81. academicPhotos\academicPhotos0002437.jpg,0,678.554810
275,dataset\81. academicPhotos\academicPhotos0000286.jpg,1,677.232178
2775,dataset\81. academicPhotos\academicPhotos0002965.jpg,9,675.806396
189,dataset\81. academicPhotos\academicPhotos0000196.jpg,3,672.579895
5079,dataset\81. academicPhotos\academicPhotos0005526.jpg,0,672.220215
206,dataset\81. academicPhotos\academicPhotos0000213.jpg,0,671.157166
2154,dataset\81. academicPhotos\academicPhotos0002296.jpg,0,664.116089
25,dataset\81. academicPhotos\academicPhotos0000026.jpg,1,662.870117
4724,dataset\81. academicPhotos\academicPhotos0005151.jpg,9,661.146423
517,dataset\81. academicPhotos\academicPhotos0000536.jpg,1,660.483643
4577,dataset\81. academicPhotos\academicPhotos0004991.jpg,0,659.517090
5300,dataset\81. academicPhotos\academicPhotos0005753.jpg,0,658.444580
2995,dataset\81. academicPhotos\academicPhotos0003205.jpg,1,656.172852
207,dataset\81. academicPhotos\academicPhotos0000214.jpg,0,655.672119
519,dataset\81. academicPhotos\academicPhotos0000538.jpg,1,655.614380
5394,dataset\81. academicPhotos\academicPhotos0005851.jpg,3,652.328979
4456,dataset\81. academicPhotos\academicPhotos0004857.jpg,1,651.985352
5328,dataset\81. academicPhotos\academicPhotos0005781.jpg,0,650.170898
3081,dataset\81. academicPhotos\academicPhotos0003300.jpg,1,648.395569
2214,dataset\81. academicPhotos\academicPhotos0002370.jpg,2,647.829834
