from,to,distance
4545,4801,0.814216
677,4129,0.814214
3201,3080,0.814211
2783,1270,0.814077
1702,3636,0.814019
2220,3104,0.813962
3450,3482,0.813930
5229,5163,0.813844
4438,5381,0.813751
179,219,0.813673
2467,4099,0.813671
1340,1344,0.813602
2585,3388,0.813578
2884,3478,0.813480
4449,564,0.813438
1412,1411,0.813369
2910,2793,0.813245
3804,4157,0.813197
5442,3298,0.813153
2138,155,0.813124
4543,4544,0.812967
2882,1601,0.812948
4085,3089,0.812940
2119,843,0.812911
802,1511,0.812820
3796,5365,0.812807
41,2667,0.812720
3804,4159,0.812584
899,5484,0.812543
1477,411,0.812463
4925,1511,0.812445
2385,2416,0.812439
292,6,0.812422
4730,1586,0.812173
616,2217,0.812118
1281,1284,0.812084
3367,3830,0.811994
2882,2884,0.811911
2884,2882,0.811911
2946,372,0.811433
4457,4007,0.811366
4326,2821,0.811350
502,4388,0.811150
1396,1395,0.811134
3974,2117,0.811130
2251,1792,0.811119
5117,5080,0.811027
866,2154,0.811014
2154,866,0.811014
4560,3294,0.810837
1960,1981,0.810826
1276,4790,0.810821
741,3814,0.810569
26,1411,0.810524
2867,1434,0.810514
3946,4467,0.810376
5187,18,0.810320
3096,2105,0.810312
3096,2126,0.810312
26,27,0.810073
662,2680,0.809936
813,3100,0.809781
3170,3468,0.809742
4294,5526,0.809684
173,89,0.809626
3796,4803,0.809618
4803,3796,0.809618
925,2248,0.809614
2493,3310,0.809604
3244,4938,0.809533
3954,3948,0.809508
4110,4532,0.809483
5154,3120,0.809334
3663,3681,0.809202
2195,2505,0.808832
324,479,0.808696
3197,4109,0.808573
2553,4360,0.808380
2251,1364,0.808217
3641,3713,0.808117
3662,1302,0.808072
3641,2911,0.808012
4653,3796,0.808000
2743,4197,0.807988
2808,1972,0.807975
813,3060,0.807951
808,802,0.807936
4103,1042,0.807832
2193,3033,0.807832
113,115,0.807818
115,113,0.807818
2974,2893,0.807703
584,890,0.807702
2133,258,0.807580
5158,5178,0.807508
1415,1278,0.807442
928,2586,0.807397
2330,796,0.807262
4585,1133,0.807231
2648,580,0.807138
580,2648,0.807138
306,740,0.807113
546,5180,0.807109
2783,3587,0.806993
1509,2480,0.806935
1045,1303,0.806888
4277,1527,0.806828
1527,4277,0.806828
1648,107,0.806761
2585,2337,0.806687
1706,5080,0.806394
5551,616,0.806374
616,5551,0.806374
1169,1168,0.806288
2282,1532,0.806227
4300,1533,0.806173
1045,2597,0.806169
4415,451,0.806120
2808,3374,0.806120
737,3241,0.806027
2730,2681,0.806002
2771,3315,0.805959
2442,4520,0.805957
3915,3948,0.805921
205,179,0.805918
179,205,0.805918
2531,966,0.805851
966,2531,0.805851
1172,278,0.805801
5352,5351,0.805746
4526,3374,0.805702
2448,4651,0.805610
1007,2693,0.805511
3989,5079,0.805465
3358,2753,0.805292
3706,2790,0.805123
2648,1305,0.805120
3915,4123,0.805100
324,337,0.805036
1648,3032,0.804882
493,3883,0.804850
3850,2821,0.804766
1264,54,0.804714
3251,1022,0.804679
2553,587,0.804611
3850,2777,0.804586
5435,3972,0.804493
2053,2675,0.804474
5393,1504,0.804242
5393,1522,0.804242
2193,2687,0.804155
3367,1911,0.804033
4526,4319,0.803878
2027,3941,0.803865
2387,2938,0.803648
206,209,0.803447
209,206,0.803447
2996,4497,0.803347
4542,4454,0.803243
1349,5064,0.803224
4786,2376,0.802980
4279,353,0.802965
41,2004,0.802941
149,279,0.802902
292,328,0.802878
1336,1337,0.802661
4191,3814,0.802541
599,5017,0.802528
1325,1508,0.802382
2392,89,0.802265
3229,3002,0.802139
3989,1672,0.802105
5236,2691,0.801927
1413,5167,0.801873
1480,5015,0.801850
4420,1925,0.801778
2797,2491,0.801674
4417,4663,0.801667
1264,4520,0.801539
5544,4619,0.801539
3864,1166,0.801535
1477,331,0.801477
1162,8,0.801122
5544,4622,0.801007
3891,4639,0.800946
2448,5152,0.800805
5342,4520,0.800637
904,2193,0.800632
5374,2645,0.800488
2032,2555,0.800394
4442,4567,0.800380
3366,758,0.800373
2974,2894,0.800299
5236,4725,0.800298
205,207,0.800273
1358,3347,0.800137
3952,4509,0.800035
5049,180,0.800028
3952,4493,0.799954
9,1381,0.799947
857,32,0.799908
149,280,0.799906
1415,1524,0.799906
4277,1647,0.799821
4321,3244,0.799779
1480,979,0.799625
1172,2918,0.799579
1349,1128,0.799578
4720,2925,0.799536
2133,151,0.799259
2996,1842,0.799238
809,806,0.799178
5427,2893,0.799085
3824,1338,0.798936
5154,2659,0.798809
5049,203,0.798659
1521,4924,0.798600
4079,919,0.798577
