from,to,distance
2607,2601,1.000000
2609,2711,1.000000
5127,5027,1.000000
2290,2307,1.000000
2295,2279,1.000000
886,932,1.000000
2307,2290,1.000000
2534,2535,1.000000
5150,2073,1.000000
5123,2075,1.000000
1280,1285,1.000000
2535,2534,1.000000
4422,5555,1.000000
2858,2856,1.000000
2316,2319,1.000000
2601,2607,1.000000
2856,2858,1.000000
2319,2316,1.000000
5027,5127,1.000000
2979,2980,1.000000
921,907,1.000000
2322,2285,1.000000
2980,2979,1.000000
4460,5462,1.000000
4768,4755,1.000000
2984,2986,1.000000
920,917,1.000000
5134,2072,1.000000
2841,2830,1.000000
907,921,1.000000
2986,2984,1.000000
4764,4754,1.000000
917,920,1.000000
2875,2876,1.000000
2876,2875,1.000000
671,672,1.000000
2830,2841,1.000000
1326,1324,1.000000
1285,1280,1.000000
2711,2609,1.000000
1324,1326,1.000000
2544,2545,1.000000
672,671,1.000000
821,822,1.000000
2545,2544,1.000000
1090,1056,1.000000
2914,2922,1.000000
1089,1058,1.000000
822,821,1.000000
2922,2914,1.000000
1327,1323,1.000000
1871,1873,1.000000
1873,1871,1.000000
1323,1327,1.000000
1322,1331,1.000000
3998,3997,1.000000
3997,3998,1.000000
1501,1518,1.000000
3969,3968,1.000000
1328,1330,1.000000
3968,3969,1.000000
5041,5093,1.000000
1953,1961,1.000000
787,786,1.000000
5462,4460,1.000000
786,787,1.000000
1505,1520,1.000000
1506,1519,1.000000
1961,1953,1.000000
5044,5097,1.000000
1330,1328,1.000000
1083,1064,1.000000
1082,1065,1.000000
2807,2799,1.000000
1985,1987,1.000000
1081,1066,1.000000
1987,1985,1.000000
1518,1501,1.000000
2044,2047,1.000000
5066,5076,1.000000
2047,2044,1.000000
1331,1322,1.000000
2799,2807,1.000000
2764,2765,1.000000
2765,2764,1.000000
2509,2512,1.000000
2072,5134,1.000000
2073,5150,1.000000
2075,5123,1.000000
2791,2782,1.000000
932,886,1.000000
1519,1506,1.000000
2512,2509,1.000000
1076,1071,1.000000
2782,2791,1.000000
1520,1505,1.000000
1075,1072,1.000000
2105,2126,1.000000
5076,5066,1.000000
4679,4680,1.000000
2126,2105,1.000000
1072,1075,1.000000
4680,4679,1.000000
1071,1076,1.000000
2170,2171,1.000000
2171,2170,1.000000
5093,5041,1.000000
2183,2191,1.000000
4754,4764,1.000000
3405,3402,1.000000
2522,2523,1.000000
3404,3403,1.000000
1066,1081,1.000000
3403,3404,1.000000
5097,5044,1.000000
1065,1082,1.000000
2523,2522,1.000000
1064,1083,1.000000
3402,3405,1.000000
4755,4768,1.000000
2191,2183,1.000000
1058,1089,1.000000
5555,4422,1.000000
2527,2528,1.000000
2219,2226,1.000000
1056,1090,1.000000
2528,2527,1.000000
2223,2228,1.000000
2226,2219,1.000000
2228,2223,1.000000
2279,2295,1.000000
2285,2322,1.000000
1282,1275,1.000000
2604,2639,1.000000
3644,3643,1.000000
4421,5547,1.000000
1522,1504,1.000000
3643,3644,1.000000
1057,1091,1.000000
2878,2872,1.000000
1275,1282,1.000000
5137,2074,1.000000
3353,3336,1.000000
3336,3353,1.000000
2872,2878,1.000000
1524,1503,1.000000
1091,1057,1.000000
2639,2604,1.000000
1320,1335,1.000000
2915,2923,1.000000
2923,2915,1.000000
5547,4421,1.000000
1062,1085,1.000000
852,855,1.000000
3454,3660,1.000000
1503,1524,1.000000
1085,1062,1.000000
1504,1522,1.000000
855,852,1.000000
1335,1320,1.000000
2054,2056,1.000000
2056,2054,1.000000
2074,5137,1.000000
3660,3454,1.000000
1111,4957,1.000000
1108,4960,1.000000
5123,4874,1.000000
2857,2855,1.000000
2855,2857,1.000000
900,913,1.000000
913,900,1.000000
4960,1108,1.000000
4957,1111,1.000000
1912,1927,1.000000
1927,1912,1.000000
1979,1984,1.000000
1984,1979,1.000000
5113,2077,1.000000
2075,4874,1.000000
2158,2161,1.000000
2537,2538,1.000000
2538,2537,1.000000
4874,5123,1.000000
2216,2221,1.000000
2539,2540,1.000000
1613,1610,1.000000
2077,5113,1.000000
2221,2216,1.000000
2161,2158,1.000000
2540,2539,1.000000
1610,1613,1.000000
4874,2075,1.000000
