index,filename,width,height,unique,blur,mean,min,max,stdv,file_size,contrast
0,dataset\20. ememes\ememes0000000.jpg,800,897,256,2131.3735,101.3779,0.0000,255.0000,58.2741,92645,1.0000
1,dataset\20. ememes\ememes0000001.jpg,800,675,256,7168.2476,106.5672,0.0000,255.0000,77.6292,129560,1.0000
2,dataset\20. ememes\ememes0000002.jpg,800,900,256,9253.5693,139.9592,0.0000,255.0000,82.4858,182870,1.0000
3,dataset\20. ememes\ememes0000003.jpg,800,897,256,5125.9902,124.6616,0.0000,255.0000,75.6152,135988,1.0000
4,dataset\20. ememes\ememes0000004.jpg,800,897,256,4163.4932,90.0308,0.0000,255.0000,79.4277,104392,1.0000
5,dataset\20. ememes\ememes0000005.jpg,800,1350,256,4283.7109,82.6976,0.0000,255.0000,70.4958,133090,1.0000
6,dataset\20. ememes\ememes0000006.jpg,800,895,256,2332.8752,77.5028,0.0000,255.0000,68.0569,89560,1.0000
7,dataset\20. ememes\ememes0000007.jpg,936,528,256,4462.1768,82.9472,0.0000,255.0000,72.9908,89099,1.0000
8,dataset\20. ememes\ememes0000008.jpg,800,1347,256,3877.9631,93.9697,0.0000,255.0000,71.6680,175286,1.0000
9,dataset\20. ememes\ememes0000009.jpg,800,894,256,4497.4258,105.9463,0.0000,255.0000,74.2848,151132,1.0000
10,dataset\20. ememes\ememes0000010.jpg,800,894,256,5187.5005,101.3525,0.0000,255.0000,74.5922,165294,1.0000
11,dataset\20. ememes\ememes0000011.jpg,800,894,256,2789.0757,68.4029,0.0000,255.0000,63.7761,119830,1.0000
12,dataset\20. ememes\ememes0000012.jpg,800,894,256,4339.6089,70.4984,0.0000,255.0000,57.0747,169038,1.0000
13,dataset\20. ememes\ememes0000013.jpg,800,894,256,4922.3335,86.6605,0.0000,255.0000,68.1459,157498,1.0000
14,dataset\20. ememes\ememes0000014.jpg,800,448,256,6233.5459,86.9209,0.0000,255.0000,65.9698,115155,1.0000
15,dataset\20. ememes\ememes0000015.jpg,800,894,256,8289.9150,106.9682,0.0000,255.0000,66.8833,181516,1.0000
16,dataset\20. ememes\ememes0000016.jpg,800,894,256,3802.0002,110.3758,0.0000,255.0000,78.7550,116361,1.0000
17,dataset\20. ememes\ememes0000017.jpg,800,1350,256,5820.0522,101.1980,0.0000,255.0000,82.5022,188100,1.0000
18,dataset\20. ememes\ememes0000018.jpg,800,1350,256,6970.0708,94.1535,0.0000,255.0000,67.6323,221528,1.0000
19,dataset\20. ememes\ememes0000019.jpg,800,448,256,10236.8516,105.9518,0.0000,255.0000,70.3021,126011,1.0000
20,dataset\20. ememes\ememes0000020.jpg,800,894,256,4353.8765,103.2281,0.0000,255.0000,70.0946,142712,1.0000
21,dataset\20. ememes\ememes0000021.jpg,800,894,256,2361.3801,33.8553,0.0000,255.0000,43.1973,86476,1.0000
22,dataset\20. ememes\ememes0000022.jpg,800,1350,256,4668.0938,41.8386,0.0000,255.0000,48.4536,198483,1.0000
23,dataset\20. ememes\ememes0000023.jpg,800,676,256,4620.2920,40.1835,0.0000,255.0000,44.9896,109203,1.0000
24,dataset\20. ememes\ememes0000024.jpg,800,894,256,3419.0354,49.7088,0.0000,255.0000,48.2234,115867,1.0000
25,dataset\20. ememes\ememes0000025.jpg,800,894,256,8954.6074,81.0683,0.0000,255.0000,67.8957,188208,1.0000
26,dataset\20. ememes\ememes0000026.jpg,800,1350,256,11291.0332,79.5909,0.0000,255.0000,67.1943,282465,1.0000
27,dataset\20. ememes\ememes0000027.jpg,800,1350,256,10581.9512,75.4266,0.0000,255.0000,62.5423,304260,1.0000
28,dataset\20. ememes\ememes0000028.jpg,800,448,256,12576.3984,76.1785,0.0000,255.0000,63.3527,148626,1.0000
29,dataset\20. ememes\ememes0000029.jpg,800,894,256,3241.6519,82.7907,0.0000,255.0000,72.1601,110403,1.0000
30,dataset\20. ememes\ememes0000030.jpg,800,1350,256,5652.9751,75.4741,0.0000,255.0000,65.9168,217323,1.0000
31,dataset\20. ememes\ememes0000031.jpg,850,476,256,6436.1997,111.5185,0.0000,255.0000,75.3502,108463,1.0000
32,dataset\20. ememes\ememes0000032.jpg,800,894,256,5587.8770,96.0146,0.0000,255.0000,79.3593,146063,1.0000
33,dataset\20. ememes\ememes0000033.jpg,800,1350,256,6665.2827,97.7798,0.0000,255.0000,78.5429,224033,1.0000
34,dataset\20. ememes\ememes0000034.jpg,800,894,256,4409.5327,96.9872,0.0000,255.0000,54.4510,161532,1.0000
35,dataset\20. ememes\ememes0000035.jpg,800,894,256,4444.2393,83.0574,0.0000,255.0000,73.9733,151970,1.0000
36,dataset\20. ememes\ememes0000036.jpg,850,476,256,1530.6299,117.5045,0.0000,255.0000,64.5255,60461,1.0000
37,dataset\20. ememes\ememes0000037.jpg,800,448,256,7308.3037,107.9705,0.0000,255.0000,74.6889,127513,1.0000
38,dataset\20. ememes\ememes0000038.jpg,800,894,254,1411.1324,51.0551,0.0000,255.0000,51.9982,93379,1.0000
39,dataset\20. ememes\ememes0000039.jpg,800,1350,256,6814.5908,86.4855,0.0000,255.0000,72.3909,252173,1.0000
40,dataset\20. ememes\ememes0000040.jpg,800,894,256,5211.0723,86.5413,0.0000,255.0000,72.3261,158198,1.0000
41,dataset\20. ememes\ememes0000041.jpg,800,1350,256,9278.2402,63.1348,0.0000,255.0000,66.7923,278435,1.0000
42,dataset\20. ememes\ememes0000042.jpg,800,894,256,8193.0791,63.3197,0.0000,255.0000,66.9691,186161,1.0000
43,dataset\20. ememes\ememes0000043.jpg,800,448,256,9460.2324,92.2092,0.0000,255.0000,78.5923,118816,1.0000
44,dataset\20. ememes\ememes0000044.jpg,800,1350,256,7310.5537,121.8494,0.0000,255.0000,93.5196,198501,1.0000
45,dataset\20. ememes\ememes0000045.jpg,800,894,256,4316.8789,58.6974,0.0000,255.0000,56.9376,132402,1.0000
46,dataset\20. ememes\ememes0000046.jpg,800,894,256,3389.0247,77.4360,0.0000,255.0000,58.6828,132511,1.0000
47,dataset\20. ememes\ememes0000047.jpg,800,1344,256,4965.7212,88.3280,0.0000,255.0000,77.3566,179589,1.0000
48,dataset\20. ememes\ememes0000048.jpg,800,447,256,8571.3740,87.6562,0.0000,255.0000,79.8217,107673,1.0000
49,dataset\20. ememes\ememes0000049.jpg,800,894,256,8780.9834,83.9294,0.0000,255.0000,67.0190,174804,1.0000
50,dataset\20. ememes\ememes0000050.jpg,800,894,256,8382.3555,91.4106,0.0000,255.0000,70.7336,170462,1.0000
51,dataset\20. ememes\ememes0000051.jpg,800,894,256,2594.3003,144.4353,0.0000,255.0000,86.6758,93854,1.0000
52,dataset\20. ememes\ememes0000052.jpg,800,898,256,5515.3037,89.6674,0.0000,255.0000,68.1955,148752,1.0000
53,dataset\20. ememes\ememes0000053.jpg,800,898,256,1621.9564,107.4090,0.0000,255.0000,62.9597,101280,1.0000
54,dataset\20. ememes\ememes0000054.jpg,800,1353,256,1259.9508,102.7398,0.0000,255.0000,63.4015,138218,1.0000
55,dataset\20. ememes\ememes0000055.jpg,800,448,256,2594.1177,107.2887,0.0000,255.0000,62.8220,79329,1.0000
56,dataset\20. ememes\ememes0000056.jpg,800,898,256,6210.3882,118.2190,0.0000,255.0000,69.6109,159077,1.0000
57,dataset\20. ememes\ememes0000057.jpg,850,476,256,1745.2698,202.4505,0.0000,255.0000,84.3412,32287,1.0000
58,dataset\20. ememes\ememes0000058.jpg,800,1353,256,5304.2451,80.4501,0.0000,255.0000,72.8237,185808,1.0000
59,dataset\20. ememes\ememes0000059.jpg,800,898,256,2570.2009,68.9063,0.0000,255.0000,62.4218,102973,1.0000
60,dataset\20. ememes\ememes0000060.jpg,800,1334,256,3694.7629,60.3643,0.0000,255.0000,60.2711,144506,1.0000
61,dataset\20. ememes\ememes0000061.jpg,800,1334,256,5183.2993,59.1494,0.0000,255.0000,60.0883,170843,1.0000
62,dataset\20. ememes\ememes0000062.jpg,800,1334,256,4728.0381,55.0349,0.0000,255.0000,59.8012,167195,1.0000
63,dataset\20. ememes\ememes0000063.jpg,800,891,256,3182.6125,51.9410,0.0000,255.0000,53.5303,107392,1.0000
64,dataset\20. ememes\ememes0000064.jpg,800,891,256,4357.5234,51.7112,0.0000,255.0000,61.4563,123348,1.0000
