component_id,mean,sum,count,min,max
3517,3.987082,4.000000,0.996770,0.996770,0.996770
1970,11.574385,12.000000,0.964532,0.960891,0.967526
1471,3.993928,4.000000,0.998482,0.998482,0.998482
1409,3.989721,4.000000,0.997430,0.997430,0.997430
1735,3.851566,4.000000,0.962892,0.962892,0.962892
447,3.984011,4.000000,0.996003,0.996003,0.996003
1441,3.951447,4.000000,0.987862,0.987862,0.987862
3803,3.855083,4.000000,0.963771,0.963771,0.963771
1962,3.961518,4.000000,0.990380,0.990380,0.990380
3881,3.975606,4.000000,0.993902,0.993902,0.993902
1529,3.996711,4.000000,0.999178,0.999178,0.999178
1479,3.949283,4.000000,0.987321,0.987321,0.987321
1473,11.844927,12.000000,0.987077,0.979749,0.998600
1326,3.965436,4.000000,0.991359,0.991359,0.991359
3240,15.666180,16.000000,0.979136,0.965763,0.999999
495,4.000000,4.000000,1.000000,1.000000,1.000000
3186,3.999999,4.000000,1.000000,1.000000,1.000000
1946,3.977167,4.000000,0.994292,0.994292,0.994292
1511,3.891419,4.000000,0.972855,0.972855,0.972855
1388,3.993839,4.000000,0.998460,0.998460,0.998460
1851,7.795948,8.000000,0.974493,0.966404,0.982583
1795,3.953907,4.000000,0.988477,0.988477,0.988477
1185,17.466635,18.000000,0.970369,0.960477,0.983299
1292,3.976696,4.000000,0.994174,0.994174,0.994174
1875,3.877027,4.000000,0.969257,0.969257,0.969257
1955,3.959648,4.000000,0.989912,0.989912,0.989912
2612,3.994076,4.000000,0.998519,0.998519,0.998519
3641,3.879731,4.000000,0.969933,0.969933,0.969933
1907,3.992834,4.000000,0.998208,0.998208,0.998208
1859,64.270554,66.000000,0.973796,0.961046,0.992753
1177,3.891488,4.000000,0.972872,0.972872,0.972872
3911,3.896947,4.000000,0.974237,0.974237,0.974237
3309,3.913574,4.000000,0.978393,0.978393,0.978393
1263,3.943385,4.000000,0.985846,0.985846,0.985846
1698,3.974219,4.000000,0.993555,0.993555,0.993555
660,3.922468,4.000000,0.980617,0.980617,0.980617
3639,3.952030,4.000000,0.988007,0.988007,0.988007
442,3.991929,4.000000,0.997982,0.997982,0.997982
448,3.999999,4.000000,1.000000,1.000000,1.000000
7775,3.971945,4.000000,0.992986,0.992986,0.992986
1854,3.965130,4.000000,0.991283,0.991283,0.991283
1659,3.965310,4.000000,0.991328,0.991328,0.991328
492,3.982303,4.000000,0.995576,0.995576,0.995576
1611,3.906593,4.000000,0.976648,0.976648,0.976648
3510,3.966918,4.000000,0.991730,0.991730,0.991730
1466,3.992773,4.000000,0.998193,0.998193,0.998193
2253,3.854302,4.000000,0.963575,0.963575,0.963575
2246,3.948242,4.000000,0.987061,0.987061,0.987061
2241,3.990252,4.000000,0.997563,0.997563,0.997563
1224,3.952770,4.000000,0.988193,0.988193,0.988193
1522,3.982815,4.000000,0.995704,0.995704,0.995704
4045,3.865995,4.000000,0.966499,0.966499,0.966499
1315,3.950179,4.000000,0.987545,0.987545,0.987545
3526,15.813655,16.000000,0.988353,0.976808,0.999758
1323,3.977059,4.000000,0.994265,0.994265,0.994265
1434,3.961230,4.000000,0.990307,0.990307,0.990307
3558,3.982282,4.000000,0.995570,0.995570,0.995570
1490,3.985457,4.000000,0.996364,0.996364,0.996364
1806,3.941646,4.000000,0.985411,0.985411,0.985411
1886,7.692383,8.000000,0.961548,0.961098,0.961998
1860,3.849601,4.000000,0.962400,0.962400,0.962400
3723,3.926165,4.000000,0.981541,0.981541,0.981541
3677,3.963431,4.000000,0.990858,0.990858,0.990858
2502,3.991616,4.000000,0.997904,0.997904,0.997904
1472,3.970319,4.000000,0.992580,0.992580,0.992580
1631,3.973403,4.000000,0.993351,0.993351,0.993351
7843,3.941338,4.000000,0.985334,0.985334,0.985334
