index,filename,cluster,distance
7872,dataset\20. ememes\ememes0008368.jpg,14,1310.467529
9276,dataset\20. ememes\ememes0009910.jpg,14,1291.700928
5234,dataset\20. ememes\ememes0005521.jpg,5,1207.794922
9314,dataset\20. ememes\ememes0009954.jpg,17,1141.247070
8038,dataset\20. ememes\ememes0008555.jpg,1,1136.364258
5130,dataset\20. ememes\ememes0005403.jpg,5,1110.202515
10469,dataset\20. ememes\ememes0011290.jpg,12,1104.452515
9094,dataset\20. ememes\ememes0009705.jpg,4,1099.238647
10506,dataset\20. ememes\ememes0011330.jpg,12,1094.364014
8491,dataset\20. ememes\ememes0009034.jpg,4,1090.872192
3941,dataset\20. ememes\ememes0004122.jpg,12,1080.095215
10391,dataset\20. ememes\ememes0011206.jpg,12,1068.542236
9646,dataset\20. ememes\ememes0010350.jpg,4,1063.790283
10464,dataset\20. ememes\ememes0011285.jpg,4,1050.735596
4698,dataset\20. ememes\ememes0004931.jpg,4,1049.669189
81,dataset\20. ememes\ememes0000081.jpg,14,1044.803223
5316,dataset\20. ememes\ememes0005612.jpg,17,1029.901123
3230,dataset\20. ememes\ememes0003278.jpg,4,1023.995850
2372,dataset\20. ememes\ememes0002397.jpg,12,1021.874817
10525,dataset\20. ememes\ememes0011350.jpg,14,1013.500244
8797,dataset\20. ememes\ememes0009374.jpg,10,1010.077820
6868,dataset\20. ememes\ememes0007281.jpg,16,1008.720215
8541,dataset\20. ememes\ememes0009084.jpg,17,1007.482300
811,dataset\20. ememes\ememes0000813.jpg,14,1001.965332
1999,dataset\20. ememes\ememes0002016.jpg,14,1001.756897
9410,dataset\20. ememes\ememes0010074.jpg,17,999.464233
1862,dataset\20. ememes\ememes0001877.jpg,9,990.785400
10549,dataset\20. ememes\ememes0011376.jpg,14,986.385681
9214,dataset\20. ememes\ememes0009842.jpg,12,981.480957
8902,dataset\20. ememes\ememes0009493.jpg,12,962.919556
1870,dataset\20. ememes\ememes0001885.jpg,4,960.964783
9648,dataset\20. ememes\ememes0010353.jpg,4,949.223511
11078,dataset\20. ememes\ememes0011973.jpg,12,941.239075
10438,dataset\20. ememes\ememes0011258.jpg,12,940.589233
10705,dataset\20. ememes\ememes0011548.jpg,18,937.651062
3287,dataset\20. ememes\ememes0003337.jpg,19,935.568970
10781,dataset\20. ememes\ememes0011640.jpg,12,931.646301
10862,dataset\20. ememes\ememes0011733.jpg,12,931.568726
7708,dataset\20. ememes\ememes0008195.jpg,12,931.014160
7740,dataset\20. ememes\ememes0008229.jpg,14,927.782715
9156,dataset\20. ememes\ememes0009772.jpg,12,927.562622
603,dataset\20. ememes\ememes0000603.jpg,16,927.100708
11624,dataset\20. ememes\ememes0012653.jpg,12,926.955627
7782,dataset\20. ememes\ememes0008273.jpg,2,925.819702
728,dataset\20. ememes\ememes0000729.jpg,16,919.480591
8714,dataset\20. ememes\ememes0009276.jpg,10,917.705505
9517,dataset\20. ememes\ememes0010199.jpg,12,911.838562
9691,dataset\20. ememes\ememes0010403.jpg,1,908.367676
4454,dataset\20. ememes\ememes0004647.jpg,12,904.220032
2717,dataset\20. ememes\ememes0002744.jpg,19,903.907837
613,dataset\20. ememes\ememes0000614.jpg,8,902.869812
4501,dataset\20. ememes\ememes0004698.jpg,12,902.109070
1234,dataset\20. ememes\ememes0001237.jpg,19,901.131897
1028,dataset\20. ememes\ememes0001031.jpg,14,900.247681
6499,dataset\20. ememes\ememes0006887.jpg,14,899.851074
10208,dataset\20. ememes\ememes0010991.jpg,2,899.021912
1243,dataset\20. ememes\ememes0001246.jpg,12,896.459473
11053,dataset\20. ememes\ememes0011944.jpg,17,896.449097
10682,dataset\20. ememes\ememes0011520.jpg,14,896.113953
3832,dataset\20. ememes\ememes0004006.jpg,14,891.814697
6207,dataset\20. ememes\ememes0006571.jpg,3,891.422913
7117,dataset\20. ememes\ememes0007549.jpg,14,891.182739
6894,dataset\20. ememes\ememes0007307.jpg,17,889.605713
3382,dataset\20. ememes\ememes0003454.jpg,17,889.542175
8662,dataset\20. ememes\ememes0009215.jpg,12,888.609741
9970,dataset\20. ememes\ememes0010725.jpg,10,888.338196
2993,dataset\20. ememes\ememes0003032.jpg,3,884.846924
11108,dataset\20. ememes\ememes0012008.jpg,14,884.214844
4555,dataset\20. ememes\ememes0004761.jpg,17,883.826660
6143,dataset\20. ememes\ememes0006500.jpg,12,880.123474
9805,dataset\20. ememes\ememes0010531.jpg,12,877.195984
5504,dataset\20. ememes\ememes0005822.jpg,12,875.424622
9935,dataset\20. ememes\ememes0010679.jpg,12,874.331177
271,dataset\20. ememes\ememes0000271.jpg,14,872.682068
10837,dataset\20. ememes\ememes0011707.jpg,12,871.723999
3107,dataset\20. ememes\ememes0003149.jpg,4,869.030518
463,dataset\20. ememes\ememes0000463.jpg,3,868.317749
6007,dataset\20. ememes\ememes0006358.jpg,12,867.388428
8630,dataset\20. ememes\ememes0009181.jpg,12,866.584351
10324,dataset\20. ememes\ememes0011125.jpg,9,865.671753
8041,dataset\20. ememes\ememes0008558.jpg,19,864.000671
10962,dataset\20. ememes\ememes0011845.jpg,3,862.911743
8745,dataset\20. ememes\ememes0009312.jpg,15,860.493042
9485,dataset\20. ememes\ememes0010163.jpg,14,860.418884
2662,dataset\20. ememes\ememes0002689.jpg,12,859.053101
8338,dataset\20. ememes\ememes0008878.jpg,1,858.325928
11612,dataset\20. ememes\ememes0012636.jpg,12,857.203796
9571,dataset\20. ememes\ememes0010264.jpg,16,855.539673
1780,dataset\20. ememes\ememes0001794.jpg,19,855.081360
6571,dataset\20. ememes\ememes0006964.jpg,4,853.394531
1020,dataset\20. ememes\ememes0001023.jpg,0,851.535645
9534,dataset\20. ememes\ememes0010221.jpg,19,851.260132
4876,dataset\20. ememes\ememes0005123.jpg,10,849.614380
6109,dataset\20. ememes\ememes0006466.jpg,1,849.243530
1013,dataset\20. ememes\ememes0001016.jpg,4,849.193726
3179,dataset\20. ememes\ememes0003226.jpg,12,848.777588
472,dataset\20. ememes\ememes0000472.jpg,5,848.413391
9968,dataset\20. ememes\ememes0010723.jpg,12,848.211670
3069,dataset\20. ememes\ememes0003110.jpg,10,848.134460
11445,dataset\20. ememes\ememes0012440.jpg,1,847.640869
3105,dataset\20. ememes\ememes0003147.jpg,12,847.363464
4467,dataset\20. ememes\ememes0004660.jpg,4,846.561707
8906,dataset\20. ememes\ememes0009497.jpg,12,845.983398
543,dataset\20. ememes\ememes0000543.jpg,3,845.685913
6931,dataset\20. ememes\ememes0007345.jpg,15,845.433044
1120,dataset\20. ememes\ememes0001123.jpg,14,842.913696
2297,dataset\20. ememes\ememes0002321.jpg,2,842.719849
2722,dataset\20. ememes\ememes0002749.jpg,17,842.443909
6260,dataset\20. ememes\ememes0006630.jpg,12,841.983643
10409,dataset\20. ememes\ememes0011225.jpg,19,840.901367
11163,dataset\20. ememes\ememes0012093.jpg,12,840.484131
10722,dataset\20. ememes\ememes0011571.jpg,19,840.230286
3232,dataset\20. ememes\ememes0003280.jpg,10,839.491699
26,dataset\20. ememes\ememes0000026.jpg,4,839.317810
1707,dataset\20. ememes\ememes0001721.jpg,9,839.210754
5440,dataset\20. ememes\ememes0005754.jpg,2,839.036438
1145,dataset\20. ememes\ememes0001148.jpg,14,837.962769
5229,dataset\20. ememes\ememes0005516.jpg,3,837.020447
3562,dataset\20. ememes\ememes0003699.jpg,9,836.812256
4088,dataset\20. ememes\ememes0004270.jpg,12,836.497498
9869,dataset\20. ememes\ememes0010604.jpg,2,835.573730
5290,dataset\20. ememes\ememes0005584.jpg,0,835.423340
1232,dataset\20. ememes\ememes0001235.jpg,19,833.708130
347,dataset\20. ememes\ememes0000347.jpg,4,833.267944
2491,dataset\20. ememes\ememes0002516.jpg,12,832.578552
7901,dataset\20. ememes\ememes0008399.jpg,1,831.568542
1005,dataset\20. ememes\ememes0001008.jpg,16,831.559265
8068,dataset\20. ememes\ememes0008585.jpg,12,831.320984
6310,dataset\20. ememes\ememes0006682.jpg,16,830.381592
6391,dataset\20. ememes\ememes0006766.jpg,9,829.658325
8960,dataset\20. ememes\ememes0009559.jpg,12,828.938477
9597,dataset\20. ememes\ememes0010291.jpg,12,828.849854
8819,dataset\20. ememes\ememes0009398.jpg,12,828.846191
8125,dataset\20. ememes\ememes0008646.jpg,7,825.724731
7621,dataset\20. ememes\ememes0008099.jpg,2,825.539978
5627,dataset\20. ememes\ememes0005948.jpg,10,825.237488
722,dataset\20. ememes\ememes0000723.jpg,16,824.096313
151,dataset\20. ememes\ememes0000151.jpg,3,823.720947
771,dataset\20. ememes\ememes0000772.jpg,4,823.378052
7601,dataset\20. ememes\ememes0008079.jpg,1,821.650635
3091,dataset\20. ememes\ememes0003133.jpg,12,820.750061
9459,dataset\20. ememes\ememes0010134.jpg,17,819.764526
2394,dataset\20. ememes\ememes0002419.jpg,12,819.531311
9633,dataset\20. ememes\ememes0010333.jpg,12,818.652588
8976,dataset\20. ememes\ememes0009578.jpg,17,816.811096
925,dataset\20. ememes\ememes0000928.jpg,16,814.541992
6712,dataset\20. ememes\ememes0007111.jpg,12,814.471069
3320,dataset\20. ememes\ememes0003373.jpg,17,813.687866
9290,dataset\20. ememes\ememes0009927.jpg,14,813.496094
7006,dataset\20. ememes\ememes0007425.jpg,4,813.470703
614,dataset\20. ememes\ememes0000615.jpg,8,813.419006
10570,dataset\20. ememes\ememes0011399.jpg,4,812.841431
2884,dataset\20. ememes\ememes0002920.jpg,1,812.607544
11299,dataset\20. ememes\ememes0012271.jpg,6,812.593750
378,dataset\20. ememes\ememes0000378.jpg,14,812.053284
500,dataset\20. ememes\ememes0000500.jpg,14,812.010986
763,dataset\20. ememes\ememes0000764.jpg,14,811.876892
3819,dataset\20. ememes\ememes0003992.jpg,12,811.828979
5699,dataset\20. ememes\ememes0006028.jpg,1,811.396301
8868,dataset\20. ememes\ememes0009453.jpg,17,810.697021
8080,dataset\20. ememes\ememes0008598.jpg,4,810.446289
9500,dataset\20. ememes\ememes0010180.jpg,17,810.342529
3544,dataset\20. ememes\ememes0003674.jpg,4,809.261597
10938,dataset\20. ememes\ememes0011816.jpg,12,808.809814
3303,dataset\20. ememes\ememes0003353.jpg,12,807.672058
6878,dataset\20. ememes\ememes0007291.jpg,12,807.326660
9725,dataset\20. ememes\ememes0010440.jpg,12,806.576782
1364,dataset\20. ememes\ememes0001370.jpg,4,806.499207
1702,dataset\20. ememes\ememes0001716.jpg,12,806.001587
502,dataset\20. ememes\ememes0000502.jpg,10,805.967712
5278,dataset\20. ememes\ememes0005570.jpg,12,804.335205
11244,dataset\20. ememes\ememes0012199.jpg,12,803.460632
10994,dataset\20. ememes\ememes0011878.jpg,18,803.285950
141,dataset\20. ememes\ememes0000141.jpg,14,802.741455
10533,dataset\20. ememes\ememes0011359.jpg,3,802.530518
9470,dataset\20. ememes\ememes0010147.jpg,17,802.012512
1236,dataset\20. ememes\ememes0001239.jpg,12,801.585693
5279,dataset\20. ememes\ememes0005571.jpg,12,801.259033
233,dataset\20. ememes\ememes0000233.jpg,8,800.785767
6923,dataset\20. ememes\ememes0007337.jpg,12,800.515259
9854,dataset\20. ememes\ememes0010587.jpg,12,799.033142
841,dataset\20. ememes\ememes0000843.jpg,14,798.996277
9843,dataset\20. ememes\ememes0010574.jpg,10,798.421997
3119,dataset\20. ememes\ememes0003164.jpg,12,798.334351
5313,dataset\20. ememes\ememes0005608.jpg,12,798.108154
8655,dataset\20. ememes\ememes0009207.jpg,12,797.818115
4214,dataset\20. ememes\ememes0004400.jpg,14,797.806763
9284,dataset\20. ememes\ememes0009920.jpg,14,795.915161
2302,dataset\20. ememes\ememes0002327.jpg,12,795.829041
224,dataset\20. ememes\ememes0000224.jpg,6,795.421265
10658,dataset\20. ememes\ememes0011496.jpg,18,795.193054
4513,dataset\20. ememes\ememes0004712.jpg,12,794.000244
1012,dataset\20. ememes\ememes0001015.jpg,2,793.602478
8386,dataset\20. ememes\ememes0008926.jpg,9,793.100464
6038,dataset\20. ememes\ememes0006391.jpg,12,792.388550
831,dataset\20. ememes\ememes0000833.jpg,16,791.050354
9589,dataset\20. ememes\ememes0010283.jpg,12,787.797302
7673,dataset\20. ememes\ememes0008153.jpg,2,786.991699
10750,dataset\20. ememes\ememes0011604.jpg,12,785.995178
10856,dataset\20. ememes\ememes0011727.jpg,1,785.596069
4949,dataset\20. ememes\ememes0005202.jpg,10,785.582336
9851,dataset\20. ememes\ememes0010583.jpg,2,785.536316
8786,dataset\20. ememes\ememes0009362.jpg,10,785.096558
3215,dataset\20. ememes\ememes0003262.jpg,1,784.989929
4114,dataset\20. ememes\ememes0004296.jpg,12,784.437622
4019,dataset\20. ememes\ememes0004201.jpg,12,783.862427
3718,dataset\20. ememes\ememes0003875.jpg,14,783.853027
8854,dataset\20. ememes\ememes0009438.jpg,6,783.827087
8996,dataset\20. ememes\ememes0009603.jpg,18,782.597473
10986,dataset\20. ememes\ememes0011870.jpg,10,782.141785
769,dataset\20. ememes\ememes0000770.jpg,17,781.118530
3625,dataset\20. ememes\ememes0003770.jpg,1,780.683960
4844,dataset\20. ememes\ememes0005088.jpg,19,780.204773
9934,dataset\20. ememes\ememes0010678.jpg,12,778.677612
7145,dataset\20. ememes\ememes0007582.jpg,12,778.621887
10767,dataset\20. ememes\ememes0011624.jpg,12,778.296265
10866,dataset\20. ememes\ememes0011737.jpg,12,777.818604
11151,dataset\20. ememes\ememes0012073.jpg,12,776.923340
887,dataset\20. ememes\ememes0000890.jpg,10,776.237732
5694,dataset\20. ememes\ememes0006021.jpg,14,776.117371
1426,dataset\20. ememes\ememes0001435.jpg,4,775.777710
1113,dataset\20. ememes\ememes0001116.jpg,8,775.473816
7875,dataset\20. ememes\ememes0008371.jpg,1,775.384460
9114,dataset\20. ememes\ememes0009727.jpg,18,774.615417
4419,dataset\20. ememes\ememes0004607.jpg,1,773.621338
10031,dataset\20. ememes\ememes0010798.jpg,10,773.517334
8367,dataset\20. ememes\ememes0008907.jpg,12,773.422363
139,dataset\20. ememes\ememes0000139.jpg,8,773.200928
8813,dataset\20. ememes\ememes0009392.jpg,17,772.821045
10309,dataset\20. ememes\ememes0011109.jpg,12,772.621155
9861,dataset\20. ememes\ememes0010596.jpg,2,772.304932
264,dataset\20. ememes\ememes0000264.jpg,18,770.379150
9940,dataset\20. ememes\ememes0010685.jpg,8,769.276855
739,dataset\20. ememes\ememes0000740.jpg,14,769.258057
4472,dataset\20. ememes\ememes0004665.jpg,4,769.115234
2846,dataset\20. ememes\ememes0002880.jpg,12,769.008179
2650,dataset\20. ememes\ememes0002677.jpg,1,767.797485
10683,dataset\20. ememes\ememes0011521.jpg,17,767.768738
10112,dataset\20. ememes\ememes0010890.jpg,12,767.575806
4990,dataset\20. ememes\ememes0005248.jpg,12,767.232605
6859,dataset\20. ememes\ememes0007271.jpg,12,767.128479
9656,dataset\20. ememes\ememes0010362.jpg,4,766.625610
9825,dataset\20. ememes\ememes0010556.jpg,18,766.041443
6269,dataset\20. ememes\ememes0006639.jpg,10,764.899109
10531,dataset\20. ememes\ememes0011357.jpg,1,764.815063
315,dataset\20. ememes\ememes0000315.jpg,4,764.626160
9196,dataset\20. ememes\ememes0009819.jpg,14,763.351807
5361,dataset\20. ememes\ememes0005665.jpg,1,763.028625
4100,dataset\20. ememes\ememes0004282.jpg,19,762.764526
4919,dataset\20. ememes\ememes0005169.jpg,12,762.718872
4577,dataset\20. ememes\ememes0004793.jpg,3,761.726318
2892,dataset\20. ememes\ememes0002928.jpg,12,761.216492
10225,dataset\20. ememes\ememes0011012.jpg,10,760.850708
9011,dataset\20. ememes\ememes0009618.jpg,10,760.808044
70,dataset\20. ememes\ememes0000070.jpg,14,760.666992
173,dataset\20. ememes\ememes0000173.jpg,3,759.953735
10382,dataset\20. ememes\ememes0011196.jpg,1,759.100037
4983,dataset\20. ememes\ememes0005240.jpg,14,758.285767
11034,dataset\20. ememes\ememes0011924.jpg,5,758.258240
2122,dataset\20. ememes\ememes0002143.jpg,1,757.588867
234,dataset\20. ememes\ememes0000234.jpg,14,757.403320
169,dataset\20. ememes\ememes0000169.jpg,12,757.354797
5494,dataset\20. ememes\ememes0005812.jpg,12,756.481873
3648,dataset\20. ememes\ememes0003796.jpg,19,756.399841
2706,dataset\20. ememes\ememes0002733.jpg,3,755.159180
6706,dataset\20. ememes\ememes0007105.jpg,9,754.752563
764,dataset\20. ememes\ememes0000765.jpg,14,753.681335
10139,dataset\20. ememes\ememes0010917.jpg,4,753.047729
5181,dataset\20. ememes\ememes0005457.jpg,1,752.332397
8423,dataset\20. ememes\ememes0008965.jpg,19,751.202637
8234,dataset\20. ememes\ememes0008771.jpg,0,750.629883
9317,dataset\20. ememes\ememes0009958.jpg,12,750.581848
10520,dataset\20. ememes\ememes0011344.jpg,19,750.481018
6886,dataset\20. ememes\ememes0007299.jpg,6,750.149170
10563,dataset\20. ememes\ememes0011391.jpg,6,749.415527
522,dataset\20. ememes\ememes0000522.jpg,4,749.199524
2764,dataset\20. ememes\ememes0002792.jpg,3,748.780762
4537,dataset\20. ememes\ememes0004740.jpg,8,747.913757
7310,dataset\20. ememes\ememes0007759.jpg,12,747.636475
225,dataset\20. ememes\ememes0000225.jpg,6,747.024902
10501,dataset\20. ememes\ememes0011325.jpg,10,746.825073
10013,dataset\20. ememes\ememes0010777.jpg,12,746.138733
10573,dataset\20. ememes\ememes0011402.jpg,12,746.095886
5307,dataset\20. ememes\ememes0005601.jpg,9,745.562561
9130,dataset\20. ememes\ememes0009745.jpg,6,744.555847
3080,dataset\20. ememes\ememes0003121.jpg,3,744.404175
672,dataset\20. ememes\ememes0000673.jpg,14,744.398682
11231,dataset\20. ememes\ememes0012186.jpg,17,744.331421
4609,dataset\20. ememes\ememes0004830.jpg,14,744.206970
5270,dataset\20. ememes\ememes0005562.jpg,1,743.143372
9050,dataset\20. ememes\ememes0009658.jpg,19,742.233826
1651,dataset\20. ememes\ememes0001665.jpg,1,742.130249
8678,dataset\20. ememes\ememes0009235.jpg,12,741.931274
11712,dataset\20. ememes\ememes0012766.jpg,12,741.609680
673,dataset\20. ememes\ememes0000674.jpg,8,740.867432
5693,dataset\20. ememes\ememes0006020.jpg,3,740.795166
11607,dataset\20. ememes\ememes0012630.jpg,12,740.441528
1003,dataset\20. ememes\ememes0001006.jpg,6,740.142639
1429,dataset\20. ememes\ememes0001438.jpg,3,739.981140
1529,dataset\20. ememes\ememes0001539.jpg,9,739.685669
10540,dataset\20. ememes\ememes0011367.jpg,12,739.530273
8963,dataset\20. ememes\ememes0009562.jpg,10,739.231873
8724,dataset\20. ememes\ememes0009287.jpg,19,738.143188
324,dataset\20. ememes\ememes0000324.jpg,8,738.067871
8024,dataset\20. ememes\ememes0008541.jpg,10,737.773499
9455,dataset\20. ememes\ememes0010129.jpg,3,737.491638
