from,to,distance
6175,5167,0.718689
3546,5695,0.718657
5161,4440,0.718657
1773,8893,0.718630
10194,2720,0.718624
7825,10328,0.718623
3347,7988,0.718613
5676,4139,0.718591
8782,10906,0.718527
4055,3810,0.718526
11176,10452,0.718522
10452,11176,0.718522
10192,3128,0.718469
9353,8624,0.718435
4679,10913,0.718399
3542,1530,0.718397
3626,2708,0.718391
2802,28,0.718356
10224,2013,0.718332
5235,6825,0.718330
8819,4957,0.718293
3862,5973,0.718257
11125,5967,0.718244
3064,11142,0.718236
3399,8130,0.718223
4281,7159,0.718196
9827,7359,0.718191
8997,6392,0.718181
11760,7528,0.718158
7448,11003,0.718153
3306,8538,0.718150
6730,2606,0.718133
3178,4724,0.718057
8994,9389,0.718051
5211,948,0.718043
56,2890,0.718029
5186,10654,0.717987
5819,9217,0.717964
2070,7578,0.717946
9226,9838,0.717940
8560,10809,0.717932
1113,207,0.717923
10922,3690,0.717913
9900,3012,0.717911
10391,3109,0.717856
10604,11781,0.717837
337,4615,0.717834
9575,3022,0.717801
1425,9182,0.717772
1911,4697,0.717717
5854,10279,0.717699
381,341,0.717695
2143,5330,0.717676
4639,5136,0.717671
11621,1380,0.717477
4770,9495,0.717456
5541,4471,0.717421
7784,7503,0.717282
9962,10148,0.717241
3374,2595,0.717241
8504,6237,0.717227
57,5372,0.717156
9404,1440,0.717115
2808,1460,0.717036
1911,7859,0.716993
5338,6733,0.716954
8020,6076,0.716905
6310,318,0.716903
5819,11478,0.716820
3375,10500,0.716798
5110,5232,0.716723
5542,8888,0.716700
9886,9750,0.716670
194,1133,0.716640
9650,9750,0.716620
726,5422,0.716604
10636,9314,0.716586
533,1319,0.716572
10465,8974,0.716570
1610,5180,0.716515
5161,8191,0.716504
366,409,0.716478
5677,9264,0.716400
3897,7394,0.716387
3966,926,0.716352
3691,7201,0.716304
11434,9812,0.716264
6859,3118,0.716239
5216,274,0.716237
11010,2058,0.716234
4823,7715,0.716194
3064,7287,0.716157
8794,9469,0.716142
9848,9942,0.716123
9363,9152,0.716097
8978,12040,0.716044
10492,4961,0.715938
1354,2420,0.715894
3588,7505,0.715815
3833,6888,0.715812
10189,3520,0.715708
9962,9718,0.715694
7872,1197,0.715667
