from,to,distance
9139,8704,1.000000
7652,8621,1.000000
3315,3316,1.000000
8621,7652,1.000000
11050,10711,1.000000
10711,11050,1.000000
4973,4886,1.000000
5047,4755,1.000000
496,497,1.000000
4429,4430,1.000000
497,496,1.000000
4886,4973,1.000000
4430,4429,1.000000
3316,3315,1.000000
8704,9139,1.000000
4755,5047,1.000000
9796,9797,1.000000
9797,9796,1.000000
2366,2365,1.000000
11009,11007,1.000000
11007,11009,1.000000
2365,2366,1.000000
6203,6202,1.000000
6202,6203,1.000000
3259,3285,1.000000
3285,3259,1.000000
2308,2307,1.000000
2307,2308,1.000000
448,490,1.000000
490,448,1.000000
3328,3342,1.000000
3342,3328,1.000000
9565,9560,1.000000
9560,9565,1.000000
3317,3318,0.999999
3318,3317,0.999999
2565,5238,0.999939
5238,2565,0.999939
5480,5522,0.999933
5522,5480,0.999933
2404,2460,0.999896
2460,2404,0.999896
2960,2880,0.999879
2880,2960,0.999879
2846,10767,0.999807
10767,2846,0.999807
9131,9141,0.999781
9141,9131,0.999781
5164,2577,0.999770
2577,5164,0.999770
4607,6397,0.999758
6397,4607,0.999758
10986,8786,0.999747
8786,10986,0.999747
10918,8790,0.999698
8790,10918,0.999698
8784,10968,0.999697
10968,8784,0.999697
2811,2798,0.999599
2798,2811,0.999599
10016,9049,0.999580
9049,10016,0.999580
2787,2804,0.999556
2804,2787,0.999556
9579,10085,0.999501
10085,9579,0.999501
8655,5279,0.999408
5279,8655,0.999408
10031,10986,0.999378
10986,10031,0.999378
10031,8786,0.999359
8786,10031,0.999359
10249,10212,0.999287
10212,10249,0.999287
1549,6217,0.999178
6217,1549,0.999178
8159,4544,0.999152
4544,8159,0.999152
2270,8486,0.999148
8486,2270,0.999148
8812,8958,0.999101
8958,8812,0.999101
1887,7680,0.999090
7680,1887,0.999090
5542,1300,0.999062
1300,5542,0.999062
8110,1966,0.999053
1966,8110,0.999053
7977,4154,0.998933
4154,7977,0.998933
4570,8163,0.998924
8163,4570,0.998924
2657,5057,0.998899
5057,2657,0.998899
4890,2376,0.998842
2376,4890,0.998842
8283,2163,0.998820
2163,8283,0.998820
2680,5082,0.998776
5082,2680,0.998776
2350,4754,0.998744
4754,2350,0.998744
4743,8387,0.998735
8387,4743,0.998735
10877,5094,0.998724
5094,10877,0.998724
7870,4662,0.998605
4662,7870,0.998605
10939,8792,0.998601
8792,10939,0.998601
6111,1492,0.998600
1492,6111,0.998600
10252,10219,0.998590
10219,10252,0.998590
1750,6581,0.998562
6581,1750,0.998562
2659,5080,0.998559
5080,2659,0.998559
11235,11100,0.998531
11100,11235,0.998531
2661,5075,0.998519
5075,2661,0.998519
5073,2464,0.998503
2464,5073,0.998503
1490,10900,0.998482
10900,1490,0.998482
1406,1460,0.998460
1460,1406,0.998460
2417,4989,0.998402
4989,2417,0.998402
8503,4790,0.998379
4790,8503,0.998379
5109,2636,0.998352
2636,5109,0.998352
6435,1714,0.998344
1714,6435,0.998344
10439,1931,0.998208
1931,10439,0.998208
2921,7956,0.998203
7956,2921,0.998203
1410,5777,0.998196
5777,1410,0.998196
5955,1485,0.998193
1485,5955,0.998193
5083,2681,0.998190
2681,5083,0.998190
2569,5145,0.998143
5145,2569,0.998143
2585,5194,0.998065
5194,2585,0.998065
5044,2670,0.998014
2670,5044,0.998014
504,442,0.997982
442,504,0.997982
5609,1339,0.997936
1339,5609,0.997936
7438,8117,0.997907
8117,7438,0.997907
5222,2545,0.997904
2545,5222,0.997904
4324,3603,0.997797
3603,4324,0.997797
1431,10552,0.997769
10552,1431,0.997769
2570,5241,0.997729
5241,2570,0.997729
7805,1801,0.997720
1801,7805,0.997720
6104,10665,0.997711
10665,6104,0.997711
3666,6668,0.997699
6668,3666,0.997699
5262,2604,0.997673
2604,5262,0.997673
4149,3606,0.997595
3606,4149,0.997595
2576,5053,0.997590
5053,2576,0.997590
2494,5157,0.997576
5157,2494,0.997576
2453,5045,0.997564
5045,2453,0.997564
2963,2276,0.997563
2276,2963,0.997563
4918,2373,0.997558
2373,4918,0.997558
5103,2696,0.997539
2696,5103,0.997539
9578,10146,0.997489
10146,9578,0.997489
2515,4975,0.997446
4975,2515,0.997446
9593,10471,0.997432
10471,9593,0.997432
7802,1427,0.997430
1427,7802,0.997430
4141,3607,0.997405
3607,4141,0.997405
1739,6509,0.997397
6509,1739,0.997397
6331,1688,0.997383
1688,6331,0.997383
2406,4992,0.997333
4992,2406,0.997333
1768,6743,0.997323
6743,1768,0.997323
3604,4289,0.997267
4289,3604,0.997267
10729,6106,0.997225
6106,10729,0.997225
9718,10148,0.997180
10148,9718,0.997180
9272,8983,0.997169
8983,9272,0.997169
1787,6950,0.997156
6950,1787,0.997156
5260,2592,0.997152
2592,5260,0.997152
2422,4983,0.997077
4983,2422,0.997077
5072,2470,0.997053
2470,5072,0.997053
2850,5454,0.996956
5454,2850,0.996956
1795,2801,0.996916
2801,1795,0.996916
10866,8655,0.996839
8655,10866,0.996839
2590,5058,0.996826
5058,2590,0.996826
4390,3598,0.996770
3598,4390,0.996770
6277,1674,0.996760
1674,6277,0.996760
5239,2571,0.996720
2571,5239,0.996720
7936,1913,0.996695
1913,7936,0.996695
2412,5005,0.996692
5005,2412,0.996692
6698,1763,0.996680
1763,6698,0.996680
11783,11112,0.996666
11112,11783,0.996666
5087,2801,0.996651
2801,5087,0.996651
5074,2676,0.996621
2676,5074,0.996621
1502,1905,0.996577
1905,1502,0.996577
3594,4425,0.996569
4425,3594,0.996569
3617,3802,0.996565
3802,3617,0.996565
10930,8788,0.996547
8788,10930,0.996547
8426,4752,0.996519
4752,8426,0.996519
5756,6327,0.996489
6327,5756,0.996489
10728,9601,0.996489
9601,10728,0.996489
9431,5986,0.996483
5986,9431,0.996483
1319,9359,0.996462
9359,1319,0.996462
1972,8153,0.996442
8153,1972,0.996442
1707,6391,0.996442
6391,1707,0.996442
6134,5960,0.996388
5960,6134,0.996388
1509,10977,0.996364
10977,1509,0.996364
6156,11055,0.996362
11055,6156,0.996362
5371,5506,0.996280
5506,5371,0.996280
3813,3641,0.996195
3641,3813,0.996195
7130,5642,0.996195
5642,7130,0.996195
4836,8633,0.996119
8633,4836,0.996119
9218,1270,0.996058
1270,9218,0.996058
11232,11418,0.996033
11418,11232,0.996033
9545,10860,0.996018
10860,9545,0.996018
510,447,0.996003
447,510,0.996003
9872,10411,0.995996
10411,9872,0.995996
10866,5279,0.995995
5279,10866,0.995995
5562,5531,0.995881
5531,5562,0.995881
8795,5317,0.995777
5317,8795,0.995777
11379,11377,0.995744
11377,11379,0.995744
6053,1542,0.995704
1542,6053,0.995704
3608,3999,0.995669
3999,3608,0.995669
1308,10946,0.995626
10946,1308,0.995626
493,514,0.995576
514,493,0.995576
3640,3808,0.995570
3808,3640,0.995570
1795,5087,0.995426
5087,1795,0.995426
1579,4497,0.995381
4497,1579,0.995381
11244,11151,0.995374
11151,11244,0.995374
8512,2962,0.995296
2962,8512,0.995296
4558,5687,0.995255
5687,4558,0.995255
2471,5173,0.995218
5173,2471,0.995218
1667,6364,0.995011
6364,1667,0.995011
8339,4717,0.994983
4717,8339,0.994983
1536,6070,0.994828
6070,1536,0.994828
3637,4108,0.994762
4108,3637,0.994762
5022,2426,0.994733
2426,5022,0.994733
4576,8177,0.994707
8177,4576,0.994707
9054,9569,0.994570
9569,9054,0.994570
7897,5813,0.994553
5813,7897,0.994553
4886,2229,0.994526
2229,4973,0.994526
2229,4886,0.994526
4973,2229,0.994526
8666,9240,0.994526
9240,8666,0.994526
6182,1537,0.994441
