index,filename,width,height,unique,blur,mean,min,max,stdv,file_size,contrast
0,dataset\30. fSocialMedia\fSocialMedia0000000.jpg,1242,1583,256,22630.0508,226.7012,0.0000,255.0000,61.2257,182101,1.0000
1,dataset\30. fSocialMedia\fSocialMedia0000001.jpg,750,1334,256,6895.4512,37.9857,0.0000,255.0000,64.1000,73932,1.0000
2,dataset\30. fSocialMedia\fSocialMedia0000002.jpg,750,1334,256,10231.2256,172.1380,0.0000,255.0000,87.3699,114459,1.0000
3,dataset\30. fSocialMedia\fSocialMedia0000003.jpg,750,1334,256,16868.8535,197.2039,0.0000,255.0000,92.2966,90242,1.0000
4,dataset\30. fSocialMedia\fSocialMedia0000004.jpg,720,792,256,16910.1094,215.2921,0.0000,255.0000,74.1449,68127,1.0000
5,dataset\30. fSocialMedia\fSocialMedia0000005.jpg,1125,1299,256,10339.0723,180.0035,0.0000,255.0000,97.2383,116011,1.0000
6,dataset\30. fSocialMedia\fSocialMedia0000007.jpg,1080,1920,256,14555.9189,198.9675,0.0000,255.0000,89.4520,153648,1.0000
7,dataset\30. fSocialMedia\fSocialMedia0000008.jpg,1126,2002,256,8110.9316,210.4560,0.0000,255.0000,57.5980,85874,1.0000
8,dataset\30. fSocialMedia\fSocialMedia0000009.jpg,1242,2208,256,7295.8711,181.2153,0.0000,255.0000,84.0816,144307,1.0000
9,dataset\30. fSocialMedia\fSocialMedia0000010.jpg,540,774,256,4215.0234,190.7201,0.0000,255.0000,62.8681,45766,1.0000
10,dataset\30. fSocialMedia\fSocialMedia0000011.jpg,1242,650,256,27330.0078,230.6393,0.0000,255.0000,65.9450,89895,1.0000
11,dataset\30. fSocialMedia\fSocialMedia0000013.jpg,750,1334,256,5425.4102,128.2886,0.0000,255.0000,103.3878,61083,1.0000
12,dataset\30. fSocialMedia\fSocialMedia0000014.jpg,640,1136,256,22342.2949,210.6227,0.0000,255.0000,81.2382,86674,1.0000
13,dataset\30. fSocialMedia\fSocialMedia0000016.jpg,403,650,256,14368.1641,217.2533,0.0000,255.0000,67.0135,78921,1.0000
14,dataset\30. fSocialMedia\fSocialMedia0000017.jpg,720,582,256,7675.9531,215.8301,0.0000,255.0000,75.3700,79936,1.0000
15,dataset\30. fSocialMedia\fSocialMedia0000018.jpg,347,298,256,11043.8809,235.0948,0.0000,255.0000,45.7329,16668,1.0000
16,dataset\30. fSocialMedia\fSocialMedia0000019.jpg,730,624,256,5845.2490,148.1031,0.0000,255.0000,76.2666,50305,1.0000
17,dataset\30. fSocialMedia\fSocialMedia0000020.jpg,750,1334,256,4553.6943,211.8399,0.0000,255.0000,61.8117,47854,1.0000
18,dataset\30. fSocialMedia\fSocialMedia0000021.jpg,497,382,248,11730.6211,234.4292,4.0000,255.0000,48.5433,60224,0.9691
19,dataset\30. fSocialMedia\fSocialMedia0000023.jpg,640,815,256,12394.5059,234.7538,0.0000,255.0000,57.1244,71758,1.0000
20,dataset\30. fSocialMedia\fSocialMedia0000024.jpg,750,598,256,13552.2939,237.0819,0.0000,255.0000,47.9278,44621,1.0000
21,dataset\30. fSocialMedia\fSocialMedia0000025.jpg,750,1334,256,6578.4561,168.2455,0.0000,255.0000,79.1570,89270,1.0000
22,dataset\30. fSocialMedia\fSocialMedia0000026.jpg,750,1334,256,6108.4160,174.8196,0.0000,255.0000,72.7917,78128,1.0000
23,dataset\30. fSocialMedia\fSocialMedia0000029.jpg,1242,1715,256,24775.8555,191.9361,0.0000,255.0000,74.1320,226703,1.0000
24,dataset\30. fSocialMedia\fSocialMedia0000032.jpg,720,986,256,12904.2783,231.7407,0.0000,255.0000,63.5268,71231,1.0000
