component_id,mean,sum,count,min,max
896,7.741748,8.000000,0.967718,0.964610,0.970827
1415,3.999999,4.000000,1.000000,1.000000,1.000000
26,4.000000,4.000000,1.000000,1.000000,1.000000
30,19.377575,20.000000,0.968879,0.961381,0.977353
852,115.560852,118.000000,0.979329,0.960714,1.000000
813,3.848796,4.000000,0.962199,0.962199,0.962199
98,3.845989,4.000000,0.961497,0.961497,0.961497
127,17.361044,18.000000,0.964502,0.960135,0.968513
789,3.859166,4.000000,0.964792,0.964792,0.964792
1380,4.000000,4.000000,1.000000,1.000000,1.000000
151,3.999997,4.000000,0.999999,0.999999,0.999999
158,3.937484,4.000000,0.984371,0.984371,0.984371
167,3.845545,4.000000,0.961386,0.961386,0.961386
777,4.000000,4.000000,1.000000,1.000000,1.000000
1366,3.885760,4.000000,0.971440,0.971440,0.971440
210,3.977955,4.000000,0.994489,0.994489,0.994489
1398,3.842773,4.000000,0.960693,0.960693,0.960693
1249,4.000000,4.000000,1.000000,1.000000,1.000000
648,3.856541,4.000000,0.964135,0.964135,0.964135
339,3.856217,4.000000,0.964054,0.964054,0.964054
633,4.000000,4.000000,1.000000,1.000000,1.000000
512,4.000000,4.000000,1.000000,1.000000,1.000000
540,3.858795,4.000000,0.964699,0.964699,0.964699
663,3.871560,4.000000,0.967890,0.967890,0.967890
1902,3.920380,4.000000,0.980095,0.980095,0.980095
1721,3.999999,4.000000,1.000000,1.000000,1.000000
1154,3.875225,4.000000,0.968806,0.968806,0.968806
804,28.998381,30.000000,0.966613,0.960490,0.970327
806,7.697275,8.000000,0.962159,0.960148,0.964171
836,4.000000,4.000000,1.000000,1.000000,1.000000
1170,3.999999,4.000000,1.000000,1.000000,1.000000
917,4.000000,4.000000,1.000000,1.000000,1.000000
938,7.746807,8.000000,0.968351,0.966020,0.970682
1242,3.910220,4.000000,0.977555,0.977555,0.977555
1596,3.999871,4.000000,0.999968,0.999968,0.999968
949,11.669049,12.000000,0.972421,0.966489,0.975616
982,3.868459,4.000000,0.967115,0.967115,0.967115
1091,11.999672,12.000000,0.999973,0.999959,1.000000
1015,3.848681,4.000000,0.962170,0.962170,0.962170
1614,4.000000,4.000000,1.000000,1.000000,1.000000
1025,3.861476,4.000000,0.965369,0.965369,0.965369
1055,3.851229,4.000000,0.962807,0.962807,0.962807
1081,3.885277,4.000000,0.971319,0.971319,0.971319
1179,7.725692,8.000000,0.965711,0.961391,0.970032
1180,3.913883,4.000000,0.978471,0.978471,0.978471
1229,3.999999,4.000000,1.000000,1.000000,1.000000
1253,11.655503,12.000000,0.971292,0.967533,0.974974
1267,3.999654,4.000000,0.999914,0.999914,0.999914
1282,4.000000,4.000000,1.000000,1.000000,1.000000
1285,19.704889,20.000000,0.985244,0.973802,0.992576
1297,3.867806,4.000000,0.966952,0.966952,0.966952
1553,3.874916,4.000000,0.968729,0.968729,0.968729
1430,3.898119,4.000000,0.974530,0.974530,0.974530
1477,7.712010,8.000000,0.964001,0.962990,0.965013
1485,3.908087,4.000000,0.977022,0.977022,0.977022
1575,4.000000,4.000000,1.000000,1.000000,1.000000
1615,3.999999,4.000000,1.000000,1.000000,1.000000
1848,3.999999,4.000000,1.000000,1.000000,1.000000
