index,filename,cluster,distance
1648,dataset\30. fSocialMedia\fSocialMedia0002088.jpg,13,1263.554688
510,dataset\30. fSocialMedia\fSocialMedia0000651.jpg,16,1232.442871
503,dataset\30. fSocialMedia\fSocialMedia0000642.jpg,16,1079.165649
756,dataset\30. fSocialMedia\fSocialMedia0000981.jpg,8,893.781250
1513,dataset\30. fSocialMedia\fSocialMedia0001904.jpg,13,893.674500
1903,dataset\30. fSocialMedia\fSocialMedia0002453.jpg,16,857.082153
2073,dataset\30. fSocialMedia\fSocialMedia0002697.jpg,14,854.467285
1956,dataset\30. fSocialMedia\fSocialMedia0002517.jpg,8,850.712585
1028,dataset\30. fSocialMedia\fSocialMedia0001314.jpg,16,808.235840
1740,dataset\30. fSocialMedia\fSocialMedia0002221.jpg,3,792.398132
205,dataset\30. fSocialMedia\fSocialMedia0000283.jpg,13,791.382446
1664,dataset\30. fSocialMedia\fSocialMedia0002117.jpg,8,766.254211
1295,dataset\30. fSocialMedia\fSocialMedia0001645.jpg,3,743.495605
1679,dataset\30. fSocialMedia\fSocialMedia0002137.jpg,16,739.395813
892,dataset\30. fSocialMedia\fSocialMedia0001150.jpg,14,722.424377
593,dataset\30. fSocialMedia\fSocialMedia0000758.jpg,16,719.047791
1690,dataset\30. fSocialMedia\fSocialMedia0002152.jpg,16,706.858582
482,dataset\30. fSocialMedia\fSocialMedia0000620.jpg,16,700.461243
197,dataset\30. fSocialMedia\fSocialMedia0000274.jpg,13,693.558105
1791,dataset\30. fSocialMedia\fSocialMedia0002292.jpg,13,692.538940
1783,dataset\30. fSocialMedia\fSocialMedia0002283.jpg,13,688.969543
485,dataset\30. fSocialMedia\fSocialMedia0000623.jpg,16,685.654297
2049,dataset\30. fSocialMedia\fSocialMedia0002653.jpg,6,677.871338
431,dataset\30. fSocialMedia\fSocialMedia0000563.jpg,14,675.777039
1292,dataset\30. fSocialMedia\fSocialMedia0001641.jpg,8,670.137695
1902,dataset\30. fSocialMedia\fSocialMedia0002452.jpg,3,664.084839
365,dataset\30. fSocialMedia\fSocialMedia0000483.jpg,6,660.149292
2063,dataset\30. fSocialMedia\fSocialMedia0002680.jpg,12,658.819519
2056,dataset\30. fSocialMedia\fSocialMedia0002665.jpg,13,656.476318
187,dataset\30. fSocialMedia\fSocialMedia0000262.jpg,3,645.767761
410,dataset\30. fSocialMedia\fSocialMedia0000539.jpg,13,645.163025
455,dataset\30. fSocialMedia\fSocialMedia0000590.jpg,16,643.881409
934,dataset\30. fSocialMedia\fSocialMedia0001199.jpg,3,642.482422
1234,dataset\30. fSocialMedia\fSocialMedia0001565.jpg,14,640.441406
1829,dataset\30. fSocialMedia\fSocialMedia0002345.jpg,18,639.247559
657,dataset\30. fSocialMedia\fSocialMedia0000841.jpg,3,632.405640
240,dataset\30. fSocialMedia\fSocialMedia0000330.jpg,13,629.040161
578,dataset\30. fSocialMedia\fSocialMedia0000740.jpg,13,627.884277
1984,dataset\30. fSocialMedia\fSocialMedia0002561.jpg,6,627.747986
1937,dataset\30. fSocialMedia\fSocialMedia0002496.jpg,16,622.975830
1663,dataset\30. fSocialMedia\fSocialMedia0002115.jpg,6,622.481934
1007,dataset\30. fSocialMedia\fSocialMedia0001288.jpg,18,622.345215
1824,dataset\30. fSocialMedia\fSocialMedia0002339.jpg,14,622.260620
403,dataset\30. fSocialMedia\fSocialMedia0000531.jpg,3,617.426636
490,dataset\30. fSocialMedia\fSocialMedia0000628.jpg,13,613.529114
1625,dataset\30. fSocialMedia\fSocialMedia0002052.jpg,6,610.905945
679,dataset\30. fSocialMedia\fSocialMedia0000870.jpg,13,609.184326
1516,dataset\30. fSocialMedia\fSocialMedia0001908.jpg,6,607.788452
168,dataset\30. fSocialMedia\fSocialMedia0000231.jpg,8,604.577515
1113,dataset\30. fSocialMedia\fSocialMedia0001418.jpg,8,604.203979
1609,dataset\30. fSocialMedia\fSocialMedia0002030.jpg,16,599.629517
694,dataset\30. fSocialMedia\fSocialMedia0000895.jpg,13,598.866272
1390,dataset\30. fSocialMedia\fSocialMedia0001758.jpg,14,597.590454
1209,dataset\30. fSocialMedia\fSocialMedia0001536.jpg,8,594.627014
1743,dataset\30. fSocialMedia\fSocialMedia0002226.jpg,16,594.457275
361,dataset\30. fSocialMedia\fSocialMedia0000477.jpg,3,594.210754
1760,dataset\30. fSocialMedia\fSocialMedia0002250.jpg,1,592.717651
95,dataset\30. fSocialMedia\fSocialMedia0000128.jpg,6,588.960449
2055,dataset\30. fSocialMedia\fSocialMedia0002664.jpg,6,588.181641
1947,dataset\30. fSocialMedia\fSocialMedia0002508.jpg,16,586.830994
764,dataset\30. fSocialMedia\fSocialMedia0000991.jpg,13,585.965454
2060,dataset\30. fSocialMedia\fSocialMedia0002675.jpg,8,584.266479
351,dataset\30. fSocialMedia\fSocialMedia0000467.jpg,13,579.889771
2068,dataset\30. fSocialMedia\fSocialMedia0002692.jpg,16,579.769043
472,dataset\30. fSocialMedia\fSocialMedia0000610.jpg,14,577.764771
1853,dataset\30. fSocialMedia\fSocialMedia0002379.jpg,13,576.587158
1577,dataset\30. fSocialMedia\fSocialMedia0001985.jpg,12,573.933655
1071,dataset\30. fSocialMedia\fSocialMedia0001361.jpg,16,568.805542
282,dataset\30. fSocialMedia\fSocialMedia0000378.jpg,3,568.339600
1771,dataset\30. fSocialMedia\fSocialMedia0002266.jpg,3,568.135010
1331,dataset\30. fSocialMedia\fSocialMedia0001689.jpg,3,568.020142
616,dataset\30. fSocialMedia\fSocialMedia0000788.jpg,3,567.362549
1699,dataset\30. fSocialMedia\fSocialMedia0002164.jpg,16,566.387695
688,dataset\30. fSocialMedia\fSocialMedia0000885.jpg,14,565.626282
230,dataset\30. fSocialMedia\fSocialMedia0000318.jpg,13,563.883179
590,dataset\30. fSocialMedia\fSocialMedia0000754.jpg,3,563.627930
1515,dataset\30. fSocialMedia\fSocialMedia0001907.jpg,13,562.146606
1043,dataset\30. fSocialMedia\fSocialMedia0001333.jpg,8,559.734619
1696,dataset\30. fSocialMedia\fSocialMedia0002161.jpg,3,559.606995
1550,dataset\30. fSocialMedia\fSocialMedia0001949.jpg,16,559.170288
1952,dataset\30. fSocialMedia\fSocialMedia0002513.jpg,13,559.083191
412,dataset\30. fSocialMedia\fSocialMedia0000541.jpg,3,554.282288
576,dataset\30. fSocialMedia\fSocialMedia0000738.jpg,3,552.601013
1944,dataset\30. fSocialMedia\fSocialMedia0002505.jpg,13,551.170166
673,dataset\30. fSocialMedia\fSocialMedia0000864.jpg,14,549.079102
391,dataset\30. fSocialMedia\fSocialMedia0000518.jpg,13,548.082153
2016,dataset\30. fSocialMedia\fSocialMedia0002599.jpg,16,544.708740
2041,dataset\30. fSocialMedia\fSocialMedia0002640.jpg,3,542.556458
266,dataset\30. fSocialMedia\fSocialMedia0000359.jpg,18,540.684814
693,dataset\30. fSocialMedia\fSocialMedia0000894.jpg,14,540.584961
1695,dataset\30. fSocialMedia\fSocialMedia0002160.jpg,16,539.723328
2081,dataset\30. fSocialMedia\fSocialMedia0002707.jpg,3,539.597717
1557,dataset\30. fSocialMedia\fSocialMedia0001956.jpg,16,539.270264
1075,dataset\30. fSocialMedia\fSocialMedia0001366.jpg,16,539.092712
271,dataset\30. fSocialMedia\fSocialMedia0000365.jpg,13,537.886047
