from,to,distance
662,1941,0.717017
1635,1162,0.716885
1992,668,0.716769
679,22,0.716750
1540,280,0.716528
1609,1733,0.716462
1677,578,0.716322
578,1677,0.716322
927,1774,0.716207
375,244,0.716190
95,554,0.716184
237,302,0.715971
302,237,0.715971
356,720,0.715884
1884,1712,0.715819
365,1663,0.715423
1769,152,0.715086
1734,2080,0.714689
375,1314,0.714420
1513,1966,0.714418
1981,455,0.714298
1791,2032,0.713849
1087,1616,0.713682
157,281,0.713614
1793,463,0.713593
1081,1889,0.713190
322,1823,0.712780
876,1942,0.712733
2038,651,0.712709
1771,440,0.712666
1143,581,0.712631
1821,1966,0.711812
2060,1949,0.711293
1922,1287,0.710673
1695,1699,0.710526
1763,41,0.710506
2041,1314,0.710439
490,167,0.710426
330,1733,0.710393
1111,1456,0.710376
147,1329,0.710191
90,35,0.710072
1821,2047,0.710017
403,32,0.709967
670,184,0.709828
1984,402,0.708979
330,878,0.708479
876,927,0.708456
197,1712,0.708221
386,468,0.708164
2074,1763,0.707970
196,1636,0.707732
1978,376,0.707719
1771,386,0.707070
1855,1758,0.706528
1087,608,0.706426
2060,1097,0.706418
112,1775,0.706292
1603,2080,0.706135
670,1458,0.705914
1696,779,0.705811
1953,1075,0.705805
1857,1943,0.705559
1772,139,0.705543
1086,761,0.705183
1664,1162,0.705072
614,1162,0.704983
2056,1775,0.704724
485,237,0.704653
237,485,0.704653
2007,1035,0.704202
2007,451,0.704028
741,623,0.703858
2042,517,0.703148
1367,803,0.703107
1575,527,0.702865
1588,710,0.702186
1668,1087,0.701994
1659,878,0.701987
431,673,0.701933
1695,1114,0.701327
657,1940,0.701276
205,1458,0.701109
593,1725,0.701001
1575,668,0.700974
1295,651,0.700717
1715,776,0.699988
986,734,0.699341
749,1475,0.698393
1028,1473,0.698322
1861,760,0.698261
749,1268,0.697842
1886,1974,0.697772
1939,853,0.697638
503,1143,0.697586
262,403,0.697574
1886,1043,0.697490
431,1751,0.697407
1944,244,0.697053
503,1091,0.696546
1013,38,0.696392
412,1175,0.696030
733,1584,0.695685
1588,1766,0.694891
1081,1795,0.694834
2056,912,0.694711
231,1489,0.694426
1288,1794,0.693843
1939,542,0.693745
1407,1959,0.693495
1956,881,0.693193
88,1723,0.693172
72,544,0.692923
1772,452,0.692768
1659,1793,0.692682
72,2078,0.692641
312,1696,0.692599
1937,1559,0.692246
1579,635,0.691683
1407,623,0.691669
822,1568,0.691066
1234,322,0.690581
1947,1652,0.690402
1861,1948,0.690110
1603,1646,0.689813
694,1617,0.689342
88,2061,0.689312
1679,1498,0.688906
2054,635,0.688129
197,608,0.687528
1515,1669,0.687269
1740,986,0.684814
683,1794,0.684450
73,2077,0.684108
505,291,0.683935
892,1653,0.683892
2074,48,0.683863
2068,892,0.683861
892,2068,0.683861
62,1935,0.683748
1515,1681,0.683708
1860,325,0.683345
410,1668,0.682708
1295,1909,0.681905
1288,1624,0.680619
1947,434,0.679331
62,884,0.679331
694,61,0.679313
1860,2077,0.679201
445,1639,0.679033
1639,445,0.679033
989,22,0.678406
90,217,0.678254
1956,988,0.675007
1904,549,0.674560
1679,1933,0.674373
1937,372,0.674124
989,673,0.672484
1783,742,0.672228
1677,500,0.671922
196,457,0.671905
679,131,0.671730
1390,1564,0.671569
1086,1987,0.671421
1579,2054,0.670598
147,760,0.670577
2068,1498,0.669388
1783,2032,0.669134
1639,1367,0.668493
1666,1883,0.667476
2055,1086,0.667000
1331,986,0.666630
1914,1075,0.666559
616,1947,0.664952
412,1113,0.664548
73,1241,0.663697
616,1793,0.663274
2053,689,0.662095
1390,623,0.661327
606,328,0.660614
1331,147,0.659670
1914,1937,0.659360
505,481,0.658013
1857,1701,0.657291
2055,1693,0.655158
445,2054,0.655043
95,1624,0.654577
1234,1823,0.651978
606,1643,0.647791
410,1798,0.647246
483,384,0.645246
1028,1270,0.644639
2049,1762,0.643626
1904,1939,0.636083
756,643,0.635929
1998,1740,0.635679
483,424,0.635393
2049,635,0.631565
1998,1629,0.625182
302,485,0.624722
485,302,0.624722
1648,410,0.618700
1902,410,0.604494
1902,1498,0.595522
1648,1791,0.587456
756,83,0.583842
934,1029,0.580675
934,741,0.580341
1903,1622,0.501851
1903,616,0.498716
