from,to,distance
1716,1717,1.000000
1411,1357,1.000000
1357,1411,1.000000
797,791,1.000000
522,520,1.000000
1717,1716,1.000000
1467,1468,1.000000
1521,854,1.000000
520,522,1.000000
1676,1675,1.000000
1675,1676,1.000000
646,645,1.000000
1523,1320,1.000000
1468,1467,1.000000
645,646,1.000000
791,797,1.000000
1320,1523,1.000000
939,940,1.000000
854,1521,1.000000
940,939,1.000000
39,26,1.000000
26,39,1.000000
1828,1827,1.000000
1827,1828,1.000000
1718,1719,1.000000
1719,1718,1.000000
1142,1522,1.000000
1522,1142,1.000000
1506,1520,1.000000
1298,1299,1.000000
1299,1298,1.000000
1520,1506,1.000000
1236,1235,1.000000
1235,1236,1.000000
1957,1968,1.000000
1968,1957,1.000000
1174,1363,1.000000
1363,1174,1.000000
155,154,0.999999
154,155,0.999999
1698,1697,0.999968
1697,1698,0.999968
1338,1142,0.999959
1338,1522,0.999959
1522,1338,0.999959
1142,1338,0.999959
1341,1345,0.999914
1345,1341,0.999914
592,215,0.994489
215,592,0.994489
1374,1360,0.992576
1360,1374,0.992576
1094,1109,0.992099
1109,1094,0.992099
1094,1128,0.991072
1128,1094,0.991072
1174,1120,0.990807
1120,1363,0.990807
1120,1174,0.990807
1363,1120,0.990807
1147,1228,0.990656
1228,1147,0.990656
1165,1228,0.990349
1228,1165,0.990349
1109,1096,0.989643
1096,1109,0.989643
1096,1128,0.989336
1128,1096,0.989336
1360,1369,0.988523
1369,1360,0.988523
1369,1374,0.988110
1374,1369,0.988110
1105,1228,0.988016
1165,1171,0.988006
1171,1165,0.988006
1168,1128,0.987901
1130,1120,0.987787
1105,1165,0.987683
1177,1128,0.986870
1168,1094,0.985564
1130,1174,0.984826
1171,1228,0.984412
162,163,0.984371
163,162,0.984371
1177,1168,0.984004
1378,1374,0.982879
1147,1165,0.982407
1131,1128,0.982158
1100,1228,0.981395
1131,1168,0.980486
1378,1360,0.980296
2013,2012,0.980095
2012,2013,0.980095
1246,1250,0.978471
1250,1246,0.978471
1100,1165,0.978356
1123,1171,0.978285
1312,1315,0.977555
1315,1312,0.977555
1126,1120,0.977491
540,87,0.977353
87,540,0.977353
1376,1378,0.977051
1583,1582,0.977022
1582,1583,0.977022
1123,1105,0.976792
1144,1128,0.976670
1126,1100,0.976629
1144,1105,0.976214
994,981,0.975616
981,994,0.975616
981,1479,0.975157
1479,981,0.975157
1330,1334,0.974974
1334,1330,0.974974
1525,1526,0.974530
1526,1525,0.974530
379,540,0.974493
540,379,0.974493
1376,1369,0.973802
1455,1451,0.971440
1451,1455,0.971440
1330,1324,0.971369
1324,1330,0.971369
1129,1148,0.971319
1148,1129,0.971319
1019,916,0.970827
916,1019,0.970827
970,1435,0.970682
1435,970,0.970682
942,954,0.970327
954,942,0.970327
1245,1256,0.970032
1256,1245,0.970032
942,943,0.969666
943,942,0.969666
819,932,0.968958
932,819,0.968958
1217,1221,0.968806
1221,1217,0.968806
2063,1652,0.968729
1652,2063,0.968729
130,574,0.968513
574,130,0.968513
954,991,0.968211
991,954,0.968211
496,574,0.968172
574,496,0.968172
676,1822,0.967890
1822,676,0.967890
1324,1334,0.967533
1334,1324,0.967533
1428,1016,0.967115
1016,1428,0.967115
1464,1120,0.967060
871,1120,0.967010
1375,1424,0.966952
1424,1375,0.966952
1464,1363,0.966945
871,1079,0.966941
1079,871,0.966941
945,942,0.966685
1479,994,0.966489
994,1479,0.966489
87,379,0.966472
379,87,0.966472
970,2048,0.966020
2048,970,0.966020
943,945,0.965865
945,943,0.965865
1062,1064,0.965369
1064,1062,0.965369
1587,1574,0.965013
1574,1587,0.965013
829,804,0.964792
804,829,0.964792
738,550,0.964699
550,738,0.964699
916,1163,0.964610
1163,916,0.964610
846,821,0.964171
821,846,0.964171
1216,1105,0.964139
661,1770,0.964135
1770,661,0.964135
345,1862,0.964054
1862,345,0.964054
1481,1184,0.963893
1184,1481,0.963893
30,102,0.963682
102,30,0.963682
953,1172,0.963682
1172,953,0.963682
102,379,0.963405
947,942,0.963323
1018,1363,0.963225
1018,1174,0.963225
1573,1574,0.962990
1574,1573,0.962990
1140,1095,0.962807
1095,1140,0.962807
1172,1174,0.962802
1060,1018,0.962403
130,931,0.962354
931,130,0.962354
864,830,0.962199
830,864,0.962199
1051,1441,0.962170
1441,1051,0.962170
944,954,0.962146
1184,1126,0.962081
496,130,0.961973
100,952,0.961497
952,100,0.961497
1249,1256,0.961391
1256,1249,0.961391
172,1673,0.961386
1673,172,0.961386
1936,87,0.961381
891,1060,0.960783
1060,891,0.960783
1481,1120,0.960749
1216,1165,0.960714
1489,1488,0.960693
1488,1489,0.960693
819,947,0.960490
947,819,0.960490
949,574,0.960337
821,827,0.960148
827,821,0.960148
272,574,0.960135
827,846,0.959847
846,827,0.959847
1348,1131,0.959827
1285,1060,0.959624
1151,1141,0.959595
1141,1151,0.959595
944,947,0.959554
195,1574,0.959269
1453,1484,0.959192
1484,1453,0.959192
1222,1221,0.959154
1221,1222,0.959154
1387,1424,0.959093
1424,1387,0.959093
1310,1464,0.959058
1368,1421,0.959038
1421,1368,0.959038
826,846,0.958569
864,846,0.958374
1117,823,0.958366
823,1117,0.958366
1435,1054,0.957976
1054,1435,0.957976
1310,1120,0.957973
1348,1177,0.957683
1102,985,0.957606
985,1102,0.957606
836,944,0.957483
1365,970,0.957249
0,568,0.957178
568,0,0.957178
1307,970,0.957138
789,146,0.957089
146,789,0.957089
950,944,0.957030
1245,1184,0.956912
1266,1363,0.956723
1266,1174,0.956723
866,889,0.956697
889,866,0.956697
1936,379,0.956569
894,1363,0.956552
894,1174,0.956552
1517,1152,0.956407
1152,1517,0.956407
826,827,0.956186
891,1464,0.956154
801,819,0.956105
1182,364,0.956099
364,1182,0.956099
680,574,0.955986
618,769,0.955846
769,618,0.955846
1061,1266,0.955812
889,931,0.955594
931,889,0.955594
1102,953,0.955546
953,1102,0.955546
932,801,0.955498
801,932,0.955498
1767,146,0.955340
146,1767,0.955340
501,1770,0.955326
1770,501,0.955326
830,821,0.955290
955,945,0.955107
1484,970,0.955044
856,1183,0.954776
1183,856,0.954776
2071,950,0.954671
950,2071,0.954671
1377,871,0.954663
491,1836,0.954436
1836,491,0.954436
807,819,0.954431
955,943,0.954308
1442,981,0.954194
879,915,0.954144
915,879,0.954144
183,0,0.954050
0,183,0.954050
1343,1377,0.953907
1377,1343,0.953907
991,547,0.953892
547,991,0.953892
2048,1435,0.953846
1887,1586,0.953760
1586,1887,0.953760
1022,496,0.953416
1421,2066,0.953412
2066,1421,0.953412
84,1586,0.953378
1586,84,0.953378
2089,605,0.953243
605,2089,0.953243
1095,818,0.953131
818,1095,0.953131
637,1764,0.953043
1764,637,0.953043
1141,871,0.952989
1418,1356,0.952927
1356,1418,0.952927
1019,1266,0.952842
1117,830,0.952813
612,491,0.952788
491,612,0.952788
1681,1669,0.952767
1669,1681,0.952767
1054,970,0.952637
1384,1141,0.952602
1750,1054,0.952529
425,47,0.952506
47,425,0.952506
870,336,0.952418
336,870,0.952418
963,931,0.952387
963,146,0.952262
1135,1421,0.952254
408,136,0.952229
136,408,0.952229
1385,1343,0.952118
1343,1385,0.952118
565,338,0.952001
338,565,0.952001
1375,1432,0.951980
1432,1375,0.951980
1528,870,0.951946
870,1528,0.951946
789,1767,0.951935
1767,789,0.951935
1384,1245,0.951923
84,1587,0.951831
1587,84,0.951831
680,130,0.951783
1453,1343,0.951780
807,864,0.951746
1271,906,0.951621
906,1271,0.951621
1801,1533,0.951620
1533,1801,0.951620
1058,1062,0.951617
